Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;43.507;39.715;14.644;9.619;2.784;9.210;19.347;5.247;30.456;80.525;16.231;3.325;13.404;5.643;11.748;6.399
- bestanden;42.464;38.463;14.128;9.103;2.652;8.936;18.676;4.884;29.125;76.909;15.499;3.176;12.908;5.362;11.210;6.292
- nicht bestanden (abs.);1.043;1.252;516;516;132;274;671;363;1.331;3.616;732;149;496;281;538;107
- nicht bestanden (%);2,4;3,2;3,5;5,4;4,7;3,0;3,5;6,9;4,4;4,5;4,5;4,5;3,7;5,0;4,6;1,7
Notenmittel;2,23;2,20;2,22;2,15;2,32;2,28;2,23;2,21;2,38;2,36;2,38;2,26;2,11;2,24;2,42;2,04
Note;Verteilung in %;;;;;;;;;;;;;;;
1,0;3,7;3,4;4,1;4,2;4,5;2,9;4,5;4,3;2,3;3,2;2,4;4,3;4,2;3,3;2,0;4,8
1,1;2,0;1,8;2,1;2,0;1,8;1,8;2,2;1,8;1,3;1,6;1,4;1,8;2,1;1,9;1,2;2,8
1,2;2,5;2,4;2,6;2,5;1,9;2,1;2,8;1,9;1,7;1,9;1,9;2,6;3,0;2,5;1,6;3,8
1,3;2,9;2,9;3,2;3,2;2,0;2,9;3,2;2,8;2,2;2,3;2,3;2,6;3,7;2,8;1,8;3,6
1,4;3,2;3,2;3,2;3,6;3,1;3,0;3,2;3,2;2,5;2,7;2,4;3,1;3,8;3,2;2,1;5,0
1,5;3,7;3,9;3,6;3,9;3,2;3,5;3,7;3,6;2,7;2,9;2,9;3,0;4,4;3,6;2,7;4,9
1,6;4,0;4,2;4,0;4,5;3,1;3,9;4,0;3,9;3,0;3,3;3,4;3,7;4,8;3,3;3,1;5,2
1,7;4,2;4,5;4,3;4,8;3,7;4,2;4,0;4,4;3,3;3,6;3,9;4,1;5,0;4,0;3,2;5,3
1,8;4,5;4,8;4,1;4,5;3,1;4,7;4,3;4,0;4,0;3,8;3,9;4,2;5,3;4,4;3,6;5,1
1,9;4,8;5,3;4,7;5,6;4,4;4,6;4,6;4,5;4,2;4,4;4,0;4,7;5,8;5,0;3,8;5,8
2,0;4,8;4,9;4,5;4,8;4,0;4,3;4,3;4,9;4,2;4,0;3,9;4,5;5,3;5,2;4,2;5,5
2,1;5,0;5,3;4,7;5,6;4,2;4,5;4,8;5,6;4,4;4,4;4,5;4,8;5,4;4,5;4,6;5,3
2,2;5,1;5,5;4,9;5,5;4,7;5,2;4,6;5,7;4,8;4,6;4,8;4,4;5,6;5,2;4,8;5,2
2,3;5,1;5,5;4,9;5,3;5,4;5,1;4,8;5,1;4,9;4,8;4,8;4,2;5,3;5,2;4,9;4,8
2,4;5,2;5,2;4,9;5,3;5,3;5,0;4,9;5,7;5,1;4,8;4,8;5,4;5,2;5,0;5,4;5,0
2,5;5,0;5,5;5,1;5,6;5,2;4,9;5,0;5,9;5,6;5,0;5,1;4,9;4,9;5,5;5,2;5,0
2,6;4,9;5,0;5,0;5,4;4,9;4,6;5,0;5,1;5,4;5,0;4,7;5,1;4,7;4,9;5,6;4,3
2,7;4,5;4,9;5,0;4,7;4,5;5,3;4,7;4,5;5,1;5,1;5,2;4,4;4,3;5,2;5,5;4,5
2,8;4,7;4,6;4,6;4,8;4,7;4,8;4,5;4,9;5,5;4,8;5,1;5,3;3,6;5,3;5,4;3,8
2,9;4,1;4,0;4,4;3,8;5,0;4,2;4,2;4,4;5,4;5,1;5,1;4,6;4,0;4,6;5,2;3,1
3,0;3,8;3,7;4,2;3,6;4,2;4,2;3,8;4,4;4,7;4,7;5,2;4,4;2,9;4,3;5,3;2,5
3,1;3,4;3,0;3,6;2,5;4,6;4,0;3,5;3,2;4,6;4,3;4,4;4,1;2,5;3,7;4,9;1,8
3,2;2,9;2,6;2,7;1,9;3,8;3,2;3,1;2,6;4,1;4,0;4,1;3,5;2,1;3,2;4,4;1,5
3,3;2,4;1,8;2,5;1,2;3,7;2,9;2,5;1,7;3,4;3,5;3,8;2,6;1,3;2,2;3,4;0,8
3,4;1,8;1,1;1,7;0,6;2,3;1,9;2,0;1,0;2,8;2,7;2,9;1,8;0,8;1,2;2,6;0,6
3,5;1,1;0,7;0,8;0,3;1,5;1,5;1,2;0,6;1,7;1,9;1,7;1,3;0,2;0,8;1,9;0,3
3,6;0,5;0,3;0,4;0,1;0,6;0,8;0,6;0,2;0,8;1,0;0,9;0,4;0,1;0,0;1,0;0,0
3,7;0,2;0,1;0,1;0,0;0,3;0,2;0,2;0,0;0,3;0,4;0,3;0,1;0,0;0,0;0,4;0,0
3,8;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,2;0,0
3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0
4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0
BW: Vorjahreswerte (2020/21);;;;;;;;;;;;;;;;
