Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;43.507;39.715;14.644;9.619;2.784;9.210;19.347;5.247;30.456;80.525;16.231;3.325;13.404;5.643;11.748;6.399
- bestanden;42.464;38.463;14.128;9.103;2.652;8.936;18.676;4.884;29.125;76.909;15.499;3.176;12.908;5.362;11.210;6.292
- nicht bestanden (abs.);1.043;1.252;516;516;132;274;671;363;1.331;3.616;732;149;496;281;538;107
- nicht bestanden (%);2,4;3,2;3,5;5,4;4,7;3,0;3,5;6,9;4,4;4,5;4,5;4,5;3,7;5,0;4,6;1,7
Notenmittel;2,23;2,20;2,22;2,15;2,32;2,28;2,23;2,21;2,38;2,36;2,38;2,26;2,11;2,24;2,42;2,04
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;1.588;1.312;583;379;120;255;834;212;674;2.436;373;138;542;176;224;299
1,1;832;686;293;183;47;159;409;87;373;1.238;216;57;266;100;129;175
1,2;1.067;928;366;231;51;187;522;93;484;1.494;293;83;388;132;178;241
1,3;1.225;1.118;448;293;52;255;602;138;650;1.798;360;81;477;151;197;224
1,4;1.352;1.231;453;328;83;264;596;154;741;2.046;368;100;486;172;239;313
1,5;1.555;1.504;512;359;86;310;695;178;795;2.221;445;94;571;194;305;307
1,6;1.687;1.598;564;411;83;352;740;190;876;2.576;525;118;624;179;346;325
1,7;1.790;1.720;609;441;99;374;740;215;972;2.740;600;131;640;216;364;331
1,8;1.914;1.859;584;406;82;423;799;197;1.155;2.892;600;133;680;237;409;321
1,9;2.058;2.022;668;513;116;409;863;219;1.236;3.378;620;149;745;270;429;366
2,0;2.052;1.882;635;440;105;381;796;241;1.226;3.052;608;143;685;278;473;343
2,1;2.113;2.056;661;506;111;405;890;275;1.273;3.372;697;154;698;240;519;331
2,2;2.171;2.115;694;504;125;466;861;277;1.393;3.512;749;139;719;277;539;330
2,3;2.147;2.116;695;480;143;452;893;247;1.422;3.700;737;134;680;281;549;303
2,4;2.219;2.015;694;479;140;445;916;277;1.496;3.683;750;173;665;269;600;312
2,5;2.112;2.104;718;513;139;434;936;288;1.617;3.880;796;157;627;294;578;314
2,6;2.062;1.908;706;490;130;407;941;250;1.578;3.861;722;162;606;265;628;269
2,7;1.904;1.874;705;431;120;475;880;219;1.494;3.929;806;140;554;278;618;281
2,8;1.978;1.759;655;436;124;431;839;241;1.603;3.697;796;168;469;284;606;236
2,9;1.743;1.549;615;348;132;374;781;215;1.563;3.946;787;145;514;244;588;195
3,0;1.617;1.406;591;332;112;376;711;217;1.361;3.641;802;141;375;231;593;159
3,1;1.444;1.170;511;232;123;360;655;158;1.327;3.333;679;130;322;200;550;113
3,2;1.244;999;382;173;102;289;574;129;1.186;3.101;638;110;265;170;488;92
3,3;1.015;674;355;106;97;261;463;83;1.002;2.690;590;83;162;119;382;50
3,4;779;404;240;59;62;168;366;48;820;2.084;455;57;97;63;293;40
3,5;456;259;116;23;41;133;228;27;482;1.452;271;40;32;41;210;17
3,6;222;129;58;6;17;70;111;8;225;792;141;12;16;1;108;3
3,7;86;48;16;0;7;20;29;1;76;294;49;4;3;0;41;2
3,8;21;9;1;1;3;1;4;0;23;61;6;0;0;0;23;0
3,9;11;8;0;0;0;0;1;0;1;6;8;0;0;0;1;0
4,0;0;1;0;0;0;0;1;0;1;4;12;0;0;0;3;0
