;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.3;Schuljahr.4;Schuljahr.5
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2238;1340;3578
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3935;2346;6281

;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.30;Schuljahr.31;Schuljahr.32
0;Baden-Württemberg;Hauptschulen;Ohne Hauptschulabschluss;406;282;688
1;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;0;0;0
2;Baden-Württemberg;Realschulen;Ohne Hauptschulabschluss;185;130;315
3;Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;0;0;0
4;Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;37;16;53
5;Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;498;342;840
6;Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;33;44;77
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2325;1314;3639
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3484;2128;5612

;Unnamed: 0;Unnamed: 1;Abschluss;Schuljahr.33;Schuljahr.34;Schuljahr.35
0;Baden-Württemberg;Hauptschulen;Ohne Hauptschulabschluss;534;307;841
1;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;0;0;0
2;Baden-Württemberg;Realschulen;Ohne Hauptschulabschluss;349;233;582
3;Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;0;0;0
4;Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;78;48;126
5;Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;576;334;910
6;Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;23;35;58
7;Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2300;1392;3692
8;Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3860;2349;6209
