Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;51.724;44.930;18.510;10.151;3.013;9.822;25.317;5.321;34.256;87.091;18.440;3.549;12.772;5.864;14.672;6.750
- bestanden;50.150;43.342;17.402;9.735;2.839;9.311;24.408;4.949;32.699;84.040;17.977;3.460;12.380;5.579;14.009;6.608
- nicht bestanden (abs.);1.574;1.588;1.108;416;174;511;909;372;1.557;3.051;463;89;392;285;663;142
- nicht bestanden (%);3,0;3,5;6,0;4,1;5,8;5,2;3,6;7,0;4,5;3,5;2,5;2,5;3,1;4,9;4,5;2,1
Notenmittel;2,42;2,31;2,41;2,27;2,47;2,43;2,41;2,32;2,57;2,45;2,49;2,37;2,28;2,31;2,56;2,18
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;793;881;301;236;54;150;498;102;292;1.509;222;69;255;123;115;169
1,1;455;539;209;135;34;89;290;86;209;963;176;36;166;85;104;121
1,2;663;741;263;204;33;119;374;80;317;1.217;230;55;212;122;110;161
1,3;858;871;321;233;54;194;474;110;377;1.476;246;73;265;131;151;215
1,4;1.053;1.099;414;260;59;196;543;135;504;1.739;349;68;352;126;201;234
1,5;1.295;1.288;444;348;60;234;659;150;615;2.092;397;91;415;162;244;253
1,6;1.461;1.562;509;342;84;296;744;182;748;2.312;479;112;432;195;303;288
1,7;1.636;1.663;608;382;75;310;858;186;849;2.684;546;131;535;234;364;307
1,8;1.900;1.892;646;422;91;354;949;209;936;2.944;612;155;589;230;394;344
1,9;2.178;2.080;689;445;103;365;979;247;1.079;3.233;685;146;637;265;433;348
2,0;2.268;2.200;765;518;117;391;994;237;1.114;3.246;752;150;653;259;515;344
2,1;2.365;2.164;775;490;113;419;1.094;215;1.303;3.565;806;144;675;259;587;397
2,2;2.501;2.459;880;554;146;472;1.140;240;1.436;3.997;852;155;662;310;636;368
2,3;2.651;2.456;856;554;133;464;1.205;251;1.530;4.061;896;183;726;320;650;387
2,4;2.652;2.558;927;544;135;473;1.295;276;1.594;4.224;890;197;694;298;716;359
2,5;2.743;2.704;936;516;146;491;1.316;260;1.775;4.552;1.017;183;688;310;827;360
2,6;2.780;2.379;988;531;159;470;1.363;255;1.789;4.502;1.018;182;729;281;837;352
2,7;2.753;2.363;977;542;156;549;1.309;299;1.854;4.495;974;221;635;329;863;339
2,8;2.734;2.100;947;541;171;520;1.360;255;1.991;4.578;994;220;662;281;893;296
2,9;2.677;2.081;946;436;153;484;1.247;273;2.134;4.676;929;195;536;264;879;259
3,0;2.613;1.917;869;444;157;492;1.255;237;1.917;4.185;968;188;503;265;837;184
3,1;2.343;1.569;872;385;142;459;1.165;215;1.941;4.208;891;171;459;248;803;161
3,2;2.049;1.433;754;287;138;407;1.056;193;1.855;3.919;916;150;345;202;801;161
3,3;1.738;1.063;622;198;125;361;829;116;1.581;3.436;753;91;263;128;612;96
3,4;1.385;651;455;118;78;288;667;83;1.319;2.809;554;61;176;105;482;60
3,5;946;404;275;44;74;152;402;41;936;1.900;430;24;81;38;345;29
3,6;458;157;114;24;36;75;237;12;492;1.036;238;6;27;7;188;9
3,7;171;40;32;2;8;29;85;4;181;382;106;2;7;2;78;5
3,8;28;9;5;0;4;7;21;0;28;83;35;1;0;0;24;1
3,9;2;2;0;0;1;1;0;0;3;12;4;0;0;0;1;0
4,0;1;17;3;0;0;0;0;0;0;5;12;0;1;0;16;1
