Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;52.592;43.833;17.353;8.988;3.273;10.247;25.370;5.289;34.928;89.815;19.079;3.842;11.855;5.791;20.662;6.896
- bestanden;51.197;42.495;16.493;8.597;3.138;9.768;24.486;4.941;33.421;87.071;18.560;3.727;11.496;5.541;19.859;6.698
- nicht bestanden (abs.);1.395;1.338;860;391;135;479;884;348;1.507;2.744;519;115;359;250;803;198
- nicht bestanden (%);2,7;3,1;5,0;4,4;4,1;4,7;3,5;6,6;4,3;3,1;2,7;3,0;3,0;4,3;3,9;2,9
Notenmittel;2,43;2,32;2,39;2,28;2,44;2,44;2,40;2,31;2,58;2,46;2,50;2,40;2,32;2,39;2,50;2,18
Note;Verteilung in %;;;;;;;;;;;;;;;
1,0;1,4;1,9;1,8;2,6;1,9;1,4;2,1;2,6;0,9;1,7;1,2;2,6;1,6;1,4;1,0;2,9
1,1;0,9;1,2;1,1;1,5;1,2;1,0;1,1;1,5;0,6;1,0;0,8;1,4;1,1;1,0;0,6;1,8
1,2;1,4;1,5;1,6;2,0;1,6;1,4;1,6;1,9;0,9;1,4;1,2;1,4;1,6;1,8;1,0;2,4
1,3;1,5;2,1;2,1;2,6;1,8;1,9;2,0;2,6;1,2;1,7;1,4;1,8;1,8;2,1;1,4;3,1
1,4;2,0;2,6;2,4;2,9;2,4;2,2;2,1;3,3;1,4;2,0;1,8;2,0;2,5;2,4;1,6;3,5
1,5;2,5;2,9;2,8;3,3;2,7;2,7;2,7;2,9;1,7;2,5;2,2;2,2;3,2;2,8;2,2;4,2
1,6;2,8;3,4;3,2;3,2;3,3;2,9;3,1;3,1;2,0;2,7;2,7;2,2;3,4;3,2;2,3;4,0
1,7;3,2;3,9;3,4;3,9;3,2;3,2;3,3;3,7;2,3;3,0;3,0;3,1;4,0;3,6;3,0;5,4
1,8;3,8;4,5;3,7;4,7;3,4;3,6;3,7;3,9;2,9;3,5;3,4;3,7;4,4;4,1;3,3;5,0
1,9;4,3;5,0;4,5;4,7;3,7;3,9;4,2;4,6;3,4;4,0;3,9;4,1;4,9;4,0;3,7;5,0
2,0;4,4;4,8;4,1;5,0;3,7;4,4;4,3;4,5;3,3;3,8;3,8;4,2;5,1;4,2;3,8;5,4
2,1;4,9;5,2;4,3;4,9;4,7;4,5;4,5;4,7;4,0;4,3;4,2;4,6;5,8;5,0;4,2;5,4
2,2;5,2;5,6;5,1;5,0;4,4;4,7;5,1;5,1;4,3;4,7;4,6;4,8;5,8;5,1;4,9;6,1
2,3;5,4;5,8;4,9;5,3;4,9;4,8;4,8;5,6;4,6;4,9;4,7;5,5;5,9;5,4;5,1;5,7
2,4;5,5;5,8;4,9;5,9;4,4;5,6;5,4;5,0;5,1;5,1;5,1;6,2;5,8;5,2;5,3;5,9
2,5;5,6;5,9;5,5;5,5;4,4;4,9;5,4;5,7;5,3;5,4;5,5;6,2;5,5;5,4;5,9;4,9
2,6;5,5;5,6;5,7;5,4;5,0;5,5;5,3;5,4;5,7;5,5;5,4;5,8;5,4;4,7;6,0;4,8
2,7;5,6;5,4;5,8;5,1;6,3;5,8;5,6;4,7;5,9;5,5;5,5;4,9;5,5;5,7;6,1;4,8
2,8;5,4;5,3;5,5;5,4;5,7;5,5;5,3;5,7;6,3;5,5;5,9;6,0;4,9;5,6;6,1;3,9
2,9;5,2;4,8;5,4;5,0;5,5;4,8;5,3;5,0;6,3;5,5;5,4;5,9;4,9;5,2;6,0;3,8
3,0;4,8;4,5;5,3;4,7;5,0;5,1;5,1;4,9;6,1;5,2;5,6;5,4;4,2;4,7;6,0;3,5
3,1;4,7;3,7;4,7;4,2;5,5;4,9;4,7;4,3;6,2;5,1;5,1;5,4;3,5;4,8;5,5;3,3
3,2;4,0;3,1;4,4;3,1;5,0;4,9;3,9;3,6;5,9;4,6;5,1;3,9;3,1;4,4;4,6;1,8
3,3;3,8;2,4;3,3;2,1;3,8;4,1;3,4;2,9;4,9;4,0;4,3;3,2;2,5;3,7;3,9;1,7
3,4;2,8;1,5;2,3;1,0;3,0;3,1;2,8;1,8;3,9;3,3;3,5;2,3;2,0;2,7;3,0;1,0
3,5;1,9;0,9;1,4;0,7;2,2;2,0;1,7;0,7;2,7;2,2;2,5;0,9;1,1;1,3;1,9;0,5
3,6;1,1;0,4;0,6;0,2;1,2;0,9;1,0;0,4;1,5;1,2;1,3;0,3;0,3;0,5;1,0;0,1
3,7;0,3;0,1;0,2;0,0;0,1;0,3;0,5;0,0;0,5;0,5;0,6;0,0;0,1;0,1;0,4;0,1
3,8;0,1;0,0;0,0;0,0;0,0;0,1;0,1;0,0;0,1;0,1;0,2;0,0;0,0;0,0;0,2;0,0
3,9;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0
