Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;52.592;43.833;17.353;8.988;3.273;10.247;25.370;5.289;34.928;89.815;19.079;3.842;11.855;5.791;20.662;6.896
- bestanden;51.197;42.495;16.493;8.597;3.138;9.768;24.486;4.941;33.421;87.071;18.560;3.727;11.496;5.541;19.859;6.698
- nicht bestanden (abs.);1.395;1.338;860;391;135;479;884;348;1.507;2.744;519;115;359;250;803;198
- nicht bestanden (%);2,7;3,1;5,0;4,4;4,1;4,7;3,5;6,6;4,3;3,1;2,7;3,0;3,0;4,3;3,9;2,9
Notenmittel;2,43;2,32;2,39;2,28;2,44;2,44;2,40;2,31;2,58;2,46;2,50;2,40;2,32;2,39;2,50;2,18
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;700;797;304;227;59;137;513;127;305;1.476;217;96;186;79;198;194
1,1;475;505;178;130;37;93;281;72;195;910;147;53;132;53;129;120
1,2;732;652;256;170;51;137;392;92;316;1.244;222;51;188;97;192;158
1,3;783;882;352;222;55;184;483;126;407;1.476;264;66;210;114;269;209
1,4;1.042;1.092;388;250;74;217;519;164;484;1.743;330;75;288;132;313;234
1,5;1.262;1.244;465;286;84;268;670;143;565;2.149;416;83;364;154;433;280
1,6;1.454;1.461;530;274;104;283;767;151;684;2.341;510;82;393;179;448;268
1,7;1.644;1.666;556;334;101;317;810;183;785;2.611;561;115;462;198;599;359
1,8;1.927;1.912;613;403;106;353;895;195;963;3.073;627;137;511;226;663;336
1,9;2.201;2.120;745;401;117;377;1.022;225;1.125;3.479;733;151;560;221;728;338
2,0;2.255;2.033;674;432;116;429;1.050;222;1.117;3.289;710;158;585;234;760;365
2,1;2.515;2.224;713;421;149;444;1.090;234;1.345;3.710;772;170;667;278;835;363
2,2;2.656;2.399;836;428;138;460;1.255;254;1.432;4.129;855;180;665;282;976;411
2,3;2.764;2.454;815;453;153;468;1.166;276;1.527;4.231;881;206;684;301;1.005;382
2,4;2.803;2.457;810;504;139;546;1.313;246;1.715;4.459;944;231;666;289;1.054;395
2,5;2.847;2.519;900;476;137;479;1.327;282;1.758;4.738;1.013;231;632;300;1.168;327
2,6;2.812;2.396;936;467;156;534;1.305;268;1.906;4.776;1.005;215;619;261;1.185;320
2,7;2.859;2.299;959;440;197;564;1.361;232;1.976;4.780;1.027;184;633;315;1.220;319
2,8;2.784;2.258;913;467;178;536;1.304;281;2.094;4.805;1.101;225;559;311;1.218;263
2,9;2.687;2.051;889;430;174;473;1.298;249;2.111;4.832;1.000;221;562;290;1.198;255
3,0;2.471;1.893;867;405;157;494;1.252;242;2.026;4.486;1.038;201;480;259;1.182;234
3,1;2.388;1.585;778;360;172;474;1.160;211;2.068;4.438;944;200;403;266;1.099;219
3,2;2.045;1.306;722;270;156;481;957;178;1.980;4.013;950;146;360;246;909;121
3,3;1.931;1.015;551;182;120;401;840;145;1.634;3.473;790;121;289;204;784;116
3,4;1.416;645;381;86;95;304;675;87;1.312;2.879;653;84;229;148;586;65
3,5;979;391;229;56;68;191;416;37;913;1.930;461;32;122;73;387;32
3,6;555;157;93;19;37;90;234;18;488;1.078;238;12;37;25;204;10
3,7;176;55;32;4;3;26;114;1;158;410;106;1;10;6;78;5
3,8;32;14;5;0;1;7;15;0;30;89;28;0;0;0;34;0
3,9;0;8;2;0;4;1;2;0;2;14;6;0;0;0;2;0
4,0;2;5;1;0;0;0;0;0;0;10;11;0;0;0;3;0
