Federal States,Pass Rate
Bayern,99.09174405551587
Rheinland-Pfalz,98.6119717437105
Rheinland-Pfalz,98.63933345321584
Rheinland-Pfalz,98.7307291062942
Thüringen,98.14944134078212
Thüringen,97.88035798398492
Baden-Wüttemberg,97.34750532400363
Thüringen,97.8962962962963
Thüringen,97.99166914608747
Thüringen,97.6587187589773
Sachsen-Anhalt,100.0
Thüringen,98.27829081233372
Thüringen,98.3278637287076
