Year,highest_hauptschule_graduation_rate,Federal States
2010,28.56288022339683,Saarland
2011,27.790269828291088,Saarland
2012,27.62114979432126,Saarland
2013,26.378613001874324,Saarland
2014,26.409465020576135,Saarland
2015,25.11647606946209,Saarland
2016,23.79606365159129,Saarland
2017,26.41059027777778,Saarland
2018,27.912752402548318,Saarland
2019,27.292231255645888,Saarland
2020,28.92392049348869,Saarland
2021,26.529477196885427,Saarland
