,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
4062,Regensburg,Regensburg,49.0167,12.0833,Germany,DE,DEU,Bayern,minor,153542.0,1276000325
4066,Neuss,Neuss,51.2,6.7,Germany,DE,DEU,Nordrhein-Westfalen,minor,153796.0,1276075502
4109,Paderborn,Paderborn,51.7181,8.7542,Germany,DE,DEU,Nordrhein-Westfalen,minor,152531.0,1276339087
4472,Ingolstadt,Ingolstadt,48.7631,11.425,Germany,DE,DEU,Bayern,minor,138016.0,1276803150
4689,Fürth,Furth,49.4667,11.0,Germany,DE,DEU,Bayern,minor,129122.0,1276580165
4748,Würzburg,Wurzburg,49.7833,9.9333,Germany,DE,DEU,Bayern,minor,127880.0,1276233514
4797,Ulm,Ulm,48.4,9.9833,Germany,DE,DEU,Baden-Württemberg,minor,126949.0,1276002212
4810,Heilbronn,Heilbronn,49.15,9.2167,Germany,DE,DEU,Baden-Württemberg,minor,126458.0,1276377359
4820,Pforzheim,Pforzheim,48.895,8.705,Germany,DE,DEU,Baden-Württemberg,minor,126016.0,1276732622
4905,Wolfsburg,Wolfsburg,52.4231,10.7872,Germany,DE,DEU,Niedersachsen,minor,124151.0,1276033981
5039,Göttingen,Gottingen,51.5339,9.9356,Germany,DE,DEU,Niedersachsen,minor,119801.0,1276211234
5132,Bottrop,Bottrop,51.5247,6.9228,Germany,DE,DEU,Nordrhein-Westfalen,minor,117383.0,1276473363
5158,Reutlingen,Reutlingen,48.4833,9.2167,Germany,DE,DEU,Baden-Württemberg,minor,116456.0,1276256795
5282,Koblenz,Koblenz,50.3597,7.5978,Germany,DE,DEU,Rheinland-Pfalz,minor,114024.0,1276605495
5297,Erlangen,Erlangen,49.5833,11.0167,Germany,DE,DEU,Bayern,minor,113292.0,1276339482
5298,Bremerhaven,Bremerhaven,53.55,8.5833,Germany,DE,DEU,Bremen,,113634.0,1276991229
5330,Recklinghausen,Recklinghausen,51.585,7.1619,Germany,DE,DEU,Nordrhein-Westfalen,minor,112267.0,1276179876
5359,Bergisch Gladbach,Bergisch Gladbach,50.9918,7.1303,Germany,DE,DEU,Nordrhein-Westfalen,minor,111966.0,1276074373
5362,Remscheid,Remscheid,51.1833,7.2,Germany,DE,DEU,Nordrhein-Westfalen,minor,111770.0,1276043920
5404,Jena,Jena,50.9272,11.5861,Germany,DE,DEU,Thüringen,minor,111407.0,1276659978
5439,Trier,Trier,49.7567,6.6414,Germany,DE,DEU,Rheinland-Pfalz,minor,110636.0,1276211430
5733,Moers,Moers,51.4592,6.6197,Germany,DE,DEU,Nordrhein-Westfalen,,103725.0,1276257182
5748,Salzgitter,Salzgitter,52.15,10.3333,Germany,DE,DEU,Niedersachsen,minor,104948.0,1276613066
5819,Siegen,Siegen,50.8833,8.0167,Germany,DE,DEU,Nordrhein-Westfalen,minor,102836.0,1276268768
5856,Hildesheim,Hildesheim,52.15,9.95,Germany,DE,DEU,Niedersachsen,minor,101990.0,1276244190
5903,Gütersloh,Gutersloh,51.9,8.3833,Germany,DE,DEU,Nordrhein-Westfalen,minor,101158.0,1276587494
5956,Kaiserslautern,Kaiserslautern,49.4447,7.7689,Germany,DE,DEU,Rheinland-Pfalz,minor,100030.0,1276674534
6044,Schwerin,Schwerin,53.6333,11.4167,Germany,DE,DEU,Mecklenburg-Vorpommern,admin,95818.0,1276221707
6059,Ludwigsburg,Ludwigsburg,48.8975,9.1922,Germany,DE,DEU,Baden-Württemberg,minor,93499.0,1276803720
6409,Gladbeck,Gladbeck,51.5667,6.9667,Germany,DE,DEU,Nordrhein-Westfalen,,75687.0,1276216238
6986,Hilden,Hilden,51.1714,6.9394,Germany,DE,DEU,Nordrhein-Westfalen,,55764.0,1276577152
7167,Elmshorn,Elmshorn,53.7519,9.6511,Germany,DE,DEU,Schleswig-Holstein,,50141.0,1276091723
7227,Halle-Neustadt,Halle-Neustadt,51.4789,11.9214,Germany,DE,DEU,Sachsen-Anhalt,,46280.0,1276281757
7450,Pinneberg,Pinneberg,53.6333,9.8,Germany,DE,DEU,Schleswig-Holstein,minor,43603.0,1276865707
7968,Kornwestheim,Kornwestheim,48.8598,9.1852,Germany,DE,DEU,Baden-Württemberg,,33803.0,1276918130
8652,Weingarten,Weingarten,47.8092,9.6444,Germany,DE,DEU,Baden-Württemberg,,25168.0,1276346018
8768,Ottobrunn,Ottobrunn,48.0667,11.6667,Germany,DE,DEU,Bayern,,21719.0,1276842192
9049,Gröbenzell,Grobenzell,48.2,11.3667,Germany,DE,DEU,Bayern,,19967.0,1276398825
9266,Wolfratshausen,Wolfratshausen,47.9133,11.4278,Germany,DE,DEU,Bayern,,18984.0,1276706639
9629,Eilendorf,Eilendorf,50.7794,6.1625,Germany,DE,DEU,Nordrhein-Westfalen,,15892.0,1276960521
9660,Eppelheim,Eppelheim,49.4,8.6333,Germany,DE,DEU,Baden-Württemberg,,15359.0,1276579726
9805,Neubiberg,Neubiberg,48.0833,11.6833,Germany,DE,DEU,Bayern,,14538.0,1276417573
9975,Asperg,Asperg,48.9,9.1333,Germany,DE,DEU,Baden-Württemberg,,13486.0,1276656917
10274,Kronshagen,Kronshagen,54.3333,10.0833,Germany,DE,DEU,Schleswig-Holstein,,11921.0,1276781907
10471,Steinbach am Taunus,Steinbach am Taunus,50.1667,8.5667,Germany,DE,DEU,Hessen,,10682.0,1276335395
10739,Weißenthurm,Weissenthurm,50.4144,7.4606,Germany,DE,DEU,Rheinland-Pfalz,,9171.0,1276833572
11873,Hanau,Hanau,50.1328,8.9169,Germany,DE,DEU,Hessen,minor,98502.0,1276550409
11889,Cottbus,Cottbus,51.7606,14.3342,Germany,DE,DEU,Brandenburg,minor,98693.0,1276436655
11939,Witten,Witten,51.4333,7.3333,Germany,DE,DEU,Nordrhein-Westfalen,,96563.0,1276004960
12029,Esslingen,Esslingen,48.7333,9.3167,Germany,DE,DEU,Baden-Württemberg,minor,93542.0,1276510955
12070,Gera,Gera,50.8806,12.0833,Germany,DE,DEU,Thüringen,minor,94152.0,1276548165
12118,Iserlohn,Iserlohn,51.3833,7.6667,Germany,DE,DEU,Nordrhein-Westfalen,,92666.0,1276837267
12139,Düren,Duren,50.8,6.4833,Germany,DE,DEU,Nordrhein-Westfalen,minor,91814.0,1276181957
12149,Flensburg,Flensburg,54.7819,9.4367,Germany,DE,DEU,Schleswig-Holstein,minor,91113.0,1276853315
12151,Tübingen,Tubingen,48.52,9.0556,Germany,DE,DEU,Baden-Württemberg,minor,91877.0,1276203240
12160,Gießen,Giessen,50.5833,8.6667,Germany,DE,DEU,Hessen,minor,91255.0,1276576770
12235,Zwickau,Zwickau,50.7167,12.5,Germany,DE,DEU,Sachsen,minor,89540.0,1276683623
12340,Ratingen,Ratingen,51.3,6.85,Germany,DE,DEU,Nordrhein-Westfalen,,87297.0,1276005433
12371,Lünen,Lunen,51.6167,7.5167,Germany,DE,DEU,Nordrhein-Westfalen,,86348.0,1276959723
12407,Villingen-Schwenningen,Villingen-Schwenningen,48.0603,8.4586,Germany,DE,DEU,Baden-Württemberg,minor,86475.0,1276450523
12447,Konstanz,Konstanz,47.6667,9.1833,Germany,DE,DEU,Baden-Württemberg,,84760.0,1276601373
12518,Marl,Marl,51.6667,7.1167,Germany,DE,DEU,Nordrhein-Westfalen,,83941.0,1276451667
12534,Worms,Worms,49.6319,8.3653,Germany,DE,DEU,Rheinland-Pfalz,minor,83850.0,1276944683
12593,Velbert,Velbert,51.3333,7.05,Germany,DE,DEU,Nordrhein-Westfalen,,81984.0,1276896645
12615,Minden,Minden,52.2883,8.9167,Germany,DE,DEU,Nordrhein-Westfalen,minor,81857.0,1276191164
12660,Norderstedt,Norderstedt,53.7064,10.0103,Germany,DE,DEU,Schleswig-Holstein,,80420.0,1276872953
12671,Dessau-Roßlau,Dessau-Rosslau,51.8333,12.2333,Germany,DE,DEU,Sachsen-Anhalt,minor,81237.0,1276983641
12719,Neumünster,Neumunster,54.0714,9.99,Germany,DE,DEU,Schleswig-Holstein,minor,79496.0,1276757733
12812,Bamberg,Bamberg,49.8914,10.8869,Germany,DE,DEU,Bayern,minor,77749.0,1276824274
12813,Mosigkau,Mosigkau,51.8333,12.2333,Germany,DE,DEU,Sachsen-Anhalt,,78731.0,1276680755
12829,Delmenhorst,Delmenhorst,53.0506,8.6317,Germany,DE,DEU,Niedersachsen,minor,77607.0,1276098664
12855,Viersen,Viersen,51.2561,6.3972,Germany,DE,DEU,Nordrhein-Westfalen,minor,77523.0,1276629059
12897,Rheine,Rheine,52.2833,7.4333,Germany,DE,DEU,Nordrhein-Westfalen,,76948.0,1276882978
12898,Marburg,Marburg,50.81,8.7708,Germany,DE,DEU,Hessen,minor,76851.0,1276012023
12966,Troisdorf,Troisdorf,50.8161,7.1556,Germany,DE,DEU,Nordrhein-Westfalen,,75222.0,1276488227
13007,Wilhelmshaven,Wilhelmshaven,53.5286,8.1056,Germany,DE,DEU,Niedersachsen,minor,75189.0,1276324633
13018,Bayreuth,Bayreuth,49.9481,11.5783,Germany,DE,DEU,Bayern,minor,74657.0,1276275069
13024,Lüneburg,Luneburg,53.2525,10.4144,Germany,DE,DEU,Niedersachsen,minor,75599.0,1276001423
13058,Dorsten,Dorsten,51.66,6.9642,Germany,DE,DEU,Nordrhein-Westfalen,,74736.0,1276397774
13076,Castrop-Rauxel,Castrop-Rauxel,51.55,7.3167,Germany,DE,DEU,Nordrhein-Westfalen,,73425.0,1276873073
13102,Detmold,Detmold,51.9378,8.8833,Germany,DE,DEU,Nordrhein-Westfalen,minor,74388.0,1276802316
13120,Landshut,Landshut,48.5397,12.1508,Germany,DE,DEU,Bayern,minor,73150.0,1276485277
13138,Arnsberg,Arnsberg,51.3833,8.0833,Germany,DE,DEU,Nordrhein-Westfalen,,73628.0,1276285824
13186,Lüdenscheid,Ludenscheid,51.2167,7.6333,Germany,DE,DEU,Nordrhein-Westfalen,minor,72611.0,1276839426
13242,Brandenburg,Brandenburg,52.4167,12.5333,Germany,DE,DEU,Brandenburg,minor,72461.0,1276372220
13256,Aschaffenburg,Aschaffenburg,49.9667,9.15,Germany,DE,DEU,Bayern,minor,71381.0,1276069907
13309,Bocholt,Bocholt,51.8333,6.6167,Germany,DE,DEU,Nordrhein-Westfalen,,71099.0,1276001655
13412,Kempten,Kempten,47.7333,10.3167,Germany,DE,DEU,Bayern,minor,69053.0,1276008842
13428,Celle,Celle,52.6256,10.0825,Germany,DE,DEU,Niedersachsen,minor,69602.0,1276282135
13490,Fulda,Fulda,50.5508,9.6753,Germany,DE,DEU,Hessen,minor,68586.0,1276669051
13517,Dinslaken,Dinslaken,51.5667,6.7333,Germany,DE,DEU,Nordrhein-Westfalen,,67525.0,1276055868
13527,Aalen,Aalen,48.8333,10.1,Germany,DE,DEU,Baden-Württemberg,minor,68361.0,1276757787
13545,Lippstadt,Lippstadt,51.6667,8.35,Germany,DE,DEU,Nordrhein-Westfalen,,68007.0,1276820778
13627,Herford,Herford,52.1333,8.6833,Germany,DE,DEU,Nordrhein-Westfalen,minor,66608.0,1276588147
13642,Rüsselsheim,Russelsheim,49.995,8.4119,Germany,DE,DEU,Hessen,,66125.0,1276969472
13680,Kerpen,Kerpen,50.8719,6.6961,Germany,DE,DEU,Nordrhein-Westfalen,,66294.0,1276675138
13748,Sindelfingen,Sindelfingen,48.7133,9.0028,Germany,DE,DEU,Baden-Württemberg,,64858.0,1276001469
13769,Weimar,Weimar,50.9833,11.3167,Germany,DE,DEU,Thüringen,minor,65138.0,1276053525
13772,Neuwied,Neuwied,50.4286,7.4614,Germany,DE,DEU,Rheinland-Pfalz,minor,65137.0,1276935443
13824,Dormagen,Dormagen,51.1,6.8167,Germany,DE,DEU,Nordrhein-Westfalen,,64553.0,1276688551
13825,Plauen,Plauen,50.4833,12.1167,Germany,DE,DEU,Sachsen,minor,64660.0,1276134198
13832,Rosenheim,Rosenheim,47.85,12.1333,Germany,DE,DEU,Bayern,minor,63508.0,1276301675
13859,Neubrandenburg,Neubrandenburg,53.5569,13.2611,Germany,DE,DEU,Mecklenburg-Vorpommern,minor,64086.0,1276954105
13884,Grevenbroich,Grevenbroich,51.0883,6.5875,Germany,DE,DEU,Nordrhein-Westfalen,,63922.0,1276215861
13961,Herten,Herten,51.6,7.1333,Germany,DE,DEU,Nordrhein-Westfalen,,61910.0,1276440470
14069,Bergheim,Bergheim,50.9667,6.65,Germany,DE,DEU,Nordrhein-Westfalen,minor,61807.0,1276980188
14072,Friedrichshafen,Friedrichshafen,47.65,9.4833,Germany,DE,DEU,Baden-Württemberg,,61561.0,1276002705
14132,Schwäbisch Gmünd,Schwabisch Gmund,48.8,9.8,Germany,DE,DEU,Baden-Württemberg,,61333.0,1276897251
14155,Offenburg,Offenburg,48.4667,7.9333,Germany,DE,DEU,Baden-Württemberg,minor,60857.0,1276214401
14164,Garbsen,Garbsen,52.4183,9.5981,Germany,DE,DEU,Niedersachsen,,60754.0,1276318243
14176,Hürth,Hurth,50.8775,6.8761,Germany,DE,DEU,Nordrhein-Westfalen,,60189.0,1276025332
14185,Wesel,Wesel,51.6586,6.6178,Germany,DE,DEU,Nordrhein-Westfalen,minor,60688.0,1276261527
14233,Stralsund,Stralsund,54.3092,13.0819,Germany,DE,DEU,Mecklenburg-Vorpommern,minor,59205.0,1276640152
14239,Langenfeld,Langenfeld,51.1167,6.95,Germany,DE,DEU,Nordrhein-Westfalen,,59223.0,1276016003
