Federal States,Examinations Total,Passed Examinations,Failed Examinations,year,Pass Rate
BE,16501,15876,625,2015-01-01,96.2123507666202
BB,8419,8062,357,2015-01-01,95.75959140040385
HB,3372,3235,137,2015-01-01,95.93712930011863
HH,9837,9451,386,2015-01-01,96.0760394429196
HE,26359,25574,785,2015-01-01,97.02189005652718
MV,4393,4092,301,2015-01-01,93.14819030275439
NI,35227,33770,1457,2015-01-01,95.86396797910693
NW,88912,86347,2565,2015-01-01,97.11512506748245
RP,17380,16969,411,2015-01-01,97.63521288837744
SL,3961,3875,86,2015-01-01,97.82883110325675
SN,11324,11037,287,2015-01-01,97.46555987283645
ST,5412,5157,255,2015-01-01,95.28824833702882
SH,13233,12751,482,2015-01-01,96.35759087130658
TH,6369,6234,135,2015-01-01,97.88035798398492
BW,52592,51197,1395,2016-01-01,97.34750532400365
BY,43833,42495,1338,2016-01-01,96.94750530422284
BE,17353,16493,860,2016-01-01,95.0440845963234
BB,8988,8597,391,2016-01-01,95.64975522919448
HB,3273,3138,135,2016-01-01,95.87534372135656
HH,10247,9768,479,2016-01-01,95.32546111056894
HE,25370,24486,884,2016-01-01,96.51556957035869
MV,5289,4941,348,2016-01-01,93.42030629608622
NI,34928,33421,1507,2016-01-01,95.68540998625744
NW,89815,87071,2744,2016-01-01,96.94483104158547
RP,19079,18560,519,2016-01-01,97.2797316421196
SL,3842,3727,115,2016-01-01,97.00676730869338
SN,11855,11496,359,2016-01-01,96.97174188106284
ST,5791,5541,250,2016-01-01,95.68295631151787
SH,20662,19859,803,2016-01-01,96.11363856354662
TH,6896,6698,198,2016-01-01,97.12877030162413
BW,51724,50150,1574,2017-01-01,96.95692521846725
BY,44930,43342,1588,2017-01-01,96.46561317605163
BE,18510,17402,1108,2017-01-01,94.01404646137223
BB,10151,9735,416,2017-01-01,95.90188158802088
HB,3013,2839,174,2017-01-01,94.22502489213409
HH,9822,9311,511,2017-01-01,94.79739360619018
HE,25317,24408,909,2017-01-01,96.4095271951653
MV,5321,4949,372,2017-01-01,93.00883292614171
NI,34256,32699,1557,2017-01-01,95.45481083605792
NW,87091,84040,3051,2017-01-01,96.49676774867667
RP,18440,17977,463,2017-01-01,97.4891540130152
SL,3549,3460,89,2017-01-01,97.49225133840518
