Federal States,Grade 1.0,Grade 1.1,Grade 1.2,Grade 1.3,Grade 1.4,Grade 1.5,Grade 1.6,Grade 1.7,Grade 1.8,Grade 1.9,Grade 2.0,Grade 2.1,Grade 2.2,Grade 2.3,Grade 2.4,Grade 2.5,Grade 2.6,Grade 2.7,Grade 2.8,Grade 2.9,Grade 3.0,Grade 3.1,Grade 3.2,Grade 3.3,Grade 3.4,Grade 3.5,Grade 3.6,Grade 3.7,Grade 3.8,Grade 3.9,Grade 4.0,year
Brandenburg,186,124,178,198,268,297,330,366,420,466,454,493,517,538,538,558,521,543,529,489,462,417,339,266,171,79,38,7,0,1,0,2012-01-01
Bremen,76,50,68,81,95,93,126,148,140,137,177,193,199,236,176,264,206,235,237,208,240,201,227,151,141,99,54,19,4,0,0,2012-01-01
Hamburg,113,90,107,123,173,196,205,269,287,334,361,365,364,404,407,473,467,479,445,476,439,418,371,334,255,157,82,40,0,2,2,2012-01-01
Hessen,375,268,333,436,558,675,769,774,941,1019,1080,1099,1216,1262,1271,1312,1349,1316,1336,1401,1286,1189,1040,886,702,494,278,110,15,6,0,2012-01-01
Mecklenburg-Vorpommern,49,30,50,61,79,91,105,105,130,142,159,157,180,162,180,209,192,225,202,183,193,169,164,133,97,50,20,8,0,1,0,2012-01-01
Niedersachsen,178,134,184,248,387,488,565,625,802,899,994,1184,1326,1494,1572,1707,1910,2027,2139,2272,2102,2217,2074,1847,1558,1040,500,171,33,5,0,2012-01-01
Nordrhein-Westfalen,1160,837,1092,1324,1558,1980,2222,2427,2895,2927,3199,3423,3707,3839,3849,4400,4433,4421,4618,4395,4247,4139,4046,3599,2997,2559,1701,807,252,30,9,2012-01-01
Rheinland-Pfalz,163,112,160,185,238,288,351,417,492,498,628,647,703,799,827,813,934,933,1014,902,936,989,947,831,681,497,282,145,29,6,9,2012-01-01
Saarland,40,34,55,55,72,77,85,94,109,135,140,163,167,204,162,191,197,222,214,185,212,177,158,129,90,51,19,2,0,0,0,2012-01-01
Sachsen,67,75,97,126,172,209,242,289,311,367,349,371,440,438,464,461,462,451,434,438,369,347,288,245,155,88,51,11,2,0,0,2012-01-01
Sachsen-Anhalt,86,44,57,66,105,104,141,136,140,160,187,208,195,236,246,247,249,235,242,214,220,188,189,147,125,93,42,13,2,1,0,2012-01-01
Schleswig-Holstein,99,77,113,140,155,208,251,296,360,390,450,455,516,528,571,657,682,679,716,697,673,649,554,490,344,213,83,40,11,0,8,2012-01-01
Thüringen,154,90,128,159,187,188,232,253,265,296,262,266,266,278,271,280,215,231,233,188,191,157,136,86,58,46,8,3,0,1,0,2012-01-01
Baden-Wüttemberg,616,362,588,765,915,1088,1230,1538,1744,1966,2053,2203,2425,2537,2676,2699,2767,2735,2685,2532,2453,2232,2164,1876,1452,1065,548,167,22,1,1,2013-01-01
Bayern,678,431,592,828,953,1147,1404,1582,1647,2040,1885,2186,2377,2327,2363,2382,2288,2290,2276,2080,1842,1730,1396,1123,772,458,199,54,25,0,0,2013-01-01
Berlin,147,109,170,209,272,304,336,438,493,514,533,579,559,668,741,747,714,725,743,732,678,613,563,436,343,284,82,18,4,0,1,2013-01-01
Brandenburg,133,81,121,146,172,185,208,230,295,299,325,334,356,369,392,402,395,448,412,422,351,351,261,228,142,72,35,6,0,1,0,2013-01-01
