Federal States,Examinations Total,Passed Examinations,Failed Examinations,year,Pass Rate
Hessen,19347,18676,671,2022-01-01,96.53176203028892
Mecklenburg-Vorpommern,5247,4884,363,2022-01-01,93.08176100628933
Niedersachsen,30456,29125,1331,2022-01-01,95.6297609666404
Nordrhein-Westfalen,80525,76909,3616,2022-01-01,95.50946910897235
Rheinland-Pfalz,16231,15499,732,2022-01-01,95.49011151500216
Saarland,3325,3176,149,2022-01-01,95.5187969924812
Sachsen,13404,12908,496,2022-01-01,96.29961205610266
Sachsen-Anhalt,5643,5362,281,2022-01-01,95.02037923090556
Schleswig-Holstein,11748,11210,538,2022-01-01,95.42049710589036
Thüringen,6399,6292,107,2022-01-01,98.3278637287076
