Year,highest_abitur_graduation_rate,Federal States
2010,59.01226191053167,Hamburg
2011,50.60631114785724,Hamburg
2012,51.76932286816549,Hamburg
2013,57.89473684210527,Hamburg
2014,54.615433959843486,Hamburg
2015,54.71130110181227,Hamburg
2016,55.594900849858355,Hamburg
2017,52.712002799486754,Hamburg
2018,52.3442480440452,Hamburg
2019,53.4238310708899,Hamburg
2020,52.703586937124506,Hamburg
2021,55.55487730435844,Hamburg
