Year,highest_mittlere_graduation_rate,Federal States
2010,49.89236628580891,Sachsen
2011,48.77113473941084,Sachsen
2012,50.160242894492704,Sachsen
2013,51.459503905714676,Sachsen-Anhalt
2014,51.17429811036609,Sachsen
2015,49.86488359201774,Sachsen
2016,51.17896799477466,Sachsen
2017,49.68990042674253,Sachsen-Anhalt
2018,48.988223046392086,Sachsen
2019,48.83691609405535,Sachsen
2020,64.43971532235557,Niedersachsen
2021,50.77989062888392,Sachsen
