latitude,longtitude,country,iso2,Federal States
51.2198,7.6273,Germany,DE,Nordrhein-Westfalen
48.5397,12.1508,Germany,DE,Bayern
52.4117,12.5561,Germany,DE,Brandenburg
51.8333,6.6167,Germany,DE,Nordrhein-Westfalen
49.9757,9.1478,Germany,DE,Bayern
52.6256,10.0825,Germany,DE,Lower SN
47.7333,10.3167,Germany,DE,Bayern
50.5528,9.6775,Germany,DE,Hessen
48.8372,10.0936,Germany,DE,Baden-Wüttemberg
51.6667,8.35,Germany,DE,Nordrhein-Westfalen
51.5667,6.7333,Germany,DE,Nordrhein-Westfalen
52.1146,8.6734,Germany,DE,Nordrhein-Westfalen
50.8719,6.6961,Germany,DE,Nordrhein-Westfalen
49.995,8.4119,Germany,DE,Hessen
50.9833,11.3167,Germany,DE,Thüringen
50.495,12.1383,Germany,DE,Sachsen
48.7133,9.0028,Germany,DE,Baden-Wüttemberg
50.4286,7.4614,Germany,DE,Rheinland-Pfalz
51.0964,6.84,Germany,DE,Nordrhein-Westfalen
53.5569,13.2608,Germany,DE,Mecklenburg-Vorpommern
51.0883,6.5875,Germany,DE,Nordrhein-Westfalen
47.8561,12.1289,Germany,DE,Bayern
51.6,7.1333,Germany,DE,Nordrhein-Westfalen
50.9667,6.65,Germany,DE,Nordrhein-Westfalen
48.8,9.8,Germany,DE,Baden-Wüttemberg
47.6542,9.4792,Germany,DE,Baden-Wüttemberg
52.4183,9.5981,Germany,DE,Lower SN
51.6586,6.6178,Germany,DE,Nordrhein-Westfalen
50.8775,6.8761,Germany,DE,Nordrhein-Westfalen
48.4708,7.9408,Germany,DE,Baden-Wüttemberg
54.3092,13.0819,Germany,DE,Mecklenburg-Vorpommern
54.0833,13.3833,Germany,DE,Mecklenburg-Vorpommern
51.1167,6.95,Germany,DE,Nordrhein-Westfalen
48.3833,10.0,Germany,DE,Bayern
51.5347,7.6889,Germany,DE,Nordrhein-Westfalen
50.6613,6.7873,Germany,DE,Nordrhein-Westfalen
52.35,14.55,Germany,DE,Brandenburg
48.7025,9.6528,Germany,DE,Baden-Wüttemberg
52.1031,9.36,Germany,DE,Lower SN
50.7667,6.2333,Germany,DE,Nordrhein-Westfalen
50.8167,6.2833,Germany,DE,Nordrhein-Westfalen
51.1528,14.9872,Germany,DE,Sachsen
52.4394,9.74,Germany,DE,Lower SN
51.2667,6.6667,Germany,DE,Nordrhein-Westfalen
50.77,7.1867,Germany,DE,Nordrhein-Westfalen
51.1714,6.9394,Germany,DE,Nordrhein-Westfalen
48.8303,9.3169,Germany,DE,Baden-Wüttemberg
48.7619,8.2408,Germany,DE,Baden-Wüttemberg
51.3992,7.1858,Germany,DE,Nordrhein-Westfalen
52.5233,7.3172,Germany,DE,Lower SN
50.2292,8.6105,Germany,DE,Hessen
52.0875,8.7506,Germany,DE,Nordrhein-Westfalen
51.0,6.8,Germany,DE,Nordrhein-Westfalen
50.05,10.2333,Germany,DE,Bayern
52.4333,7.0667,Germany,DE,Lower SN
49.3443,8.1952,Germany,DE,Rheinland-Pfalz
50.5667,8.5,Germany,DE,Hessen
51.7633,7.8911,Germany,DE,Nordrhein-Westfalen
50.9167,6.8167,Germany,DE,Nordrhein-Westfalen
48.5667,13.4667,Germany,DE,Bayern
52.1622,10.5369,Germany,DE,Lower SN
52.2778,7.7167,Germany,DE,Nordrhein-Westfalen
51.79,6.14,Germany,DE,Nordrhein-Westfalen
49.8469,7.8669,Germany,DE,Rheinland-Pfalz
51.906,10.4292,Germany,DE,Lower SN
51.0333,7.5667,Germany,DE,Nordrhein-Westfalen
47.7831,9.6114,Germany,DE,Baden-Wüttemberg
51.2631,6.5492,Germany,DE,Nordrhein-Westfalen
49.3194,8.4311,Germany,DE,Rheinland-Pfalz
48.6833,9.0,Germany,DE,Baden-Wüttemberg
52.3203,10.2336,Germany,DE,Lower SN
53.3669,7.2061,Germany,DE,Lower SN
53.7547,9.6536,Germany,DE,Schleswig-Holstein
50.8167,6.7667,Germany,DE,Nordrhein-Westfalen
48.8572,8.2031,Germany,DE,Baden-Wüttemberg
48.6761,10.1544,Germany,DE,Baden-Wüttemberg
47.6156,7.6614,Germany,DE,Baden-Wüttemberg
48.8014,9.0131,Germany,DE,Baden-Wüttemberg
51.6167,7.6333,Germany,DE,Nordrhein-Westfalen
52.2,8.8,Germany,DE,Nordrhein-Westfalen
48.4028,11.7489,Germany,DE,Bayern
51.8417,8.3,Germany,DE,Nordrhein-Westfalen
53.8667,8.7,Germany,DE,Lower SN
50.7592,7.005,Germany,DE,Nordrhein-Westfalen
52.2125,7.0417,Germany,DE,Nordrhein-Westfalen
48.8772,12.5758,Germany,DE,Bayern
53.6008,9.4764,Germany,DE,Lower SN
51.5711,8.1092,Germany,DE,Nordrhein-Westfalen
48.2603,11.4342,Germany,DE,Bayern
50.8744,6.1615,Germany,DE,Nordrhein-Westfalen
49.1994,8.1231,Germany,DE,Rheinland-Pfalz
51.8308,7.2783,Germany,DE,Nordrhein-Westfalen
52.2031,8.3361,Germany,DE,Lower SN
49.3448,7.1799,Germany,DE,Saarland
50.8667,6.1,Germany,DE,Nordrhein-Westfalen
51.4458,7.5653,Germany,DE,Nordrhein-Westfalen
50.2028,8.5769,Germany,DE,Hessen
51.8671,12.6484,Germany,DE,Sachsen-Anhalt
50.3167,11.9167,Germany,DE,Bayern
48.6667,9.2167,Germany,DE,Baden-Wüttemberg
50.9489,10.7183,Germany,DE,Thüringen
48.8086,9.2758,Germany,DE,Baden-Wüttemberg
52.2,8.6,Germany,DE,Nordrhein-Westfalen
48.2119,9.0239,Germany,DE,Baden-Wüttemberg
49.5561,8.6697,Germany,DE,Baden-Wüttemberg
50.0256,8.8841,Germany,DE,Hessen
49.1333,8.6,Germany,DE,Baden-Wüttemberg
52.7544,13.2369,Germany,DE,Brandenburg
50.8333,6.9,Germany,DE,Nordrhein-Westfalen
51.2239,6.9147,Germany,DE,Nordrhein-Westfalen
52.5055,9.4636,Germany,DE,Lower SN
52.3725,9.9769,Germany,DE,Lower SN
47.88,10.6225,Germany,DE,Bayern
52.5583,13.0917,Germany,DE,Brandenburg
47.9878,10.1811,Germany,DE,Bayern
51.2278,6.6273,Germany,DE,Nordrhein-Westfalen
51.08,6.3156,Germany,DE,Nordrhein-Westfalen
53.6591,9.8009,Germany,DE,Schleswig-Holstein
48.9667,9.1333,Germany,DE,Baden-Wüttemberg
51.5917,7.6653,Germany,DE,Nordrhein-Westfalen
53.8925,11.465,Germany,DE,Mecklenburg-Vorpommern
51.8439,6.8583,Germany,DE,Nordrhein-Westfalen
52.4886,10.5464,Germany,DE,Lower SN
51.3167,6.2833,Germany,DE,Nordrhein-Westfalen
50.9747,10.3244,Germany,DE,Thüringen
50.0189,8.6961,Germany,DE,Hessen
53.4714,7.4836,Germany,DE,Lower SN
49.4444,11.8483,Germany,DE,Bayern
51.0631,6.0964,Germany,DE,Nordrhein-Westfalen
49.3,10.5833,Germany,DE,Bayern
49.3167,7.3333,Germany,DE,Saarland
51.505,10.7911,Germany,DE,Thüringen
52.4238,9.4359,Germany,DE,Lower SN
53.3833,10.0333,Germany,DE,Lower SN
50.8014,7.2044,Germany,DE,Nordrhein-Westfalen
52.3077,9.8133,Germany,DE,Lower SN
48.1333,11.3667,Germany,DE,Bayern
50.2585,10.9579,Germany,DE,Bayern
50.6833,7.1833,Germany,DE,Nordrhein-Westfalen
48.6267,9.3353,Germany,DE,Baden-Wüttemberg
50.9119,13.3428,Germany,DE,Sachsen
49.3292,11.0208,Germany,DE,Bayern
52.0277,8.9043,Germany,DE,Nordrhein-Westfalen
48.6483,9.4511,Germany,DE,Baden-Wüttemberg
49.6811,8.6228,Germany,DE,Hessen
49.1122,9.7375,Germany,DE,Baden-Wüttemberg
51.2,11.9667,Germany,DE,Sachsen-Anhalt
49.2,7.6,Germany,DE,Rheinland-Pfalz
52.8331,13.8331,Germany,DE,Brandenburg
51.8958,11.0467,Germany,DE,Sachsen-Anhalt
53.4769,9.7011,Germany,DE,Lower SN
48.6928,9.1428,Germany,DE,Baden-Wüttemberg
49.2833,11.4667,Germany,DE,Bayern
51.0608,6.2197,Germany,DE,Nordrhein-Westfalen
50.0876,8.4447,Germany,DE,Hessen
52.2,8.7,Germany,DE,Nordrhein-Westfalen
48.8,9.5333,Germany,DE,Baden-Wüttemberg
52.6,11.85,Germany,DE,Sachsen-Anhalt
51.0167,13.65,Germany,DE,Sachsen
49.25,6.8333,Germany,DE,Saarland
48.9333,8.4,Germany,DE,Baden-Wüttemberg
48.7228,9.2631,Germany,DE,Baden-Wüttemberg
50.15,8.8333,Germany,DE,Hessen
53.3285,9.8621,Germany,DE,Lower SN
52.0794,7.0134,Germany,DE,Nordrhein-Westfalen
50.6872,10.9142,Germany,DE,Thüringen
51.25,6.9667,Germany,DE,Nordrhein-Westfalen
50.8247,6.1275,Germany,DE,Nordrhein-Westfalen
51.6167,12.3167,Germany,DE,Sachsen
51.1814,14.4239,Germany,DE,Sachsen
50.9622,13.9403,Germany,DE,Sachsen
50.8167,7.0333,Germany,DE,Nordrhein-Westfalen
49.9893,8.6803,Germany,DE,Hessen
52.0917,7.6083,Germany,DE,Nordrhein-Westfalen
48.1778,11.2556,Germany,DE,Bayern
50.0558,8.6971,Germany,DE,Hessen
53.0667,7.4,Germany,DE,Lower SN
51.5,6.5333,Germany,DE,Nordrhein-Westfalen
48.9464,9.4306,Germany,DE,Baden-Wüttemberg
51.9539,7.9933,Germany,DE,Nordrhein-Westfalen
52.2917,13.625,Germany,DE,Brandenburg
50.6106,10.6931,Germany,DE,Thüringen
51.7558,8.0408,Germany,DE,Nordrhein-Westfalen
48.3001,11.9082,Germany,DE,Bayern
51.9458,7.1675,Germany,DE,Nordrhein-Westfalen
51.2167,10.45,Germany,DE,Thüringen
50.8207,6.9786,Germany,DE,Nordrhein-Westfalen
48.5711,7.8089,Germany,DE,Baden-Wüttemberg
52.1728,7.5344,Germany,DE,Nordrhein-Westfalen
47.985,8.8233,Germany,DE,Baden-Wüttemberg
49.3,7.1167,Germany,DE,Saarland
52.2167,8.9333,Germany,DE,Nordrhein-Westfalen
49.25,8.8833,Germany,DE,Baden-Wüttemberg
52.6906,7.291,Germany,DE,Lower SN
50.3833,8.0667,Germany,DE,Hessen
49.9747,8.0564,Germany,DE,Rheinland-Pfalz
51.9833,8.8,Germany,DE,Nordrhein-Westfalen
52.8478,8.0439,Germany,DE,Lower SN
53.3667,10.2167,Germany,DE,Lower SN
49.9896,8.5661,Germany,DE,Hessen
51.1392,7.2051,Germany,DE,Nordrhein-Westfalen
51.6539,7.3417,Germany,DE,Nordrhein-Westfalen
51.3658,6.4194,Germany,DE,Nordrhein-Westfalen
49.3167,6.75,Germany,DE,Saarland
53.2308,7.4528,Germany,DE,Lower SN
52.3961,9.5981,Germany,DE,Lower SN
49.1347,10.0706,Germany,DE,Baden-Wüttemberg
52.3031,9.4606,Germany,DE,Lower SN
48.2731,8.8506,Germany,DE,Baden-Wüttemberg
49.2494,7.3608,Germany,DE,Rheinland-Pfalz
49.538,8.5792,Germany,DE,Hessen
