;;;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr
;;;2009/10;2009/10;2009/10;2010/11;2010/11;2010/11;2011/12;2011/12;2011/12;2012/13;2012/13;2012/13;2013/14;2013/14;2013/14;2014/15;2014/15;2014/15;2015/16;2015/16;2015/16;2016/17;2016/17;2016/17;2017/18;2017/18;2017/18;2018/19;2018/19;2018/19;2019/20;2019/20;2019/20;2020/21;2020/21;2020/21
;;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
Baden-Württemberg;Realschulen;Insgesamt;20981;20885;41866;20217;20061;40278;20787;20952;41739;21236;21178;42414;21709;21204;42913;21333;21188;42521;21175;20580;41755;20796;20282;41078;19717;18143;37860;18864;18419;37283;19750;18392;38142;18548;17475;36023
Baden-Württemberg;Gymnasien (G9);Ohne Hauptschulabschluss;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baden-Württemberg;Gymnasien (G9);Hauptschulabschluss;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baden-Württemberg;Gymnasien (G9);Mittlerer Schulabschluss;923;820;1743;656;636;1292;283;152;435;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baden-Württemberg;Gymnasien (G9);Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baden-Württemberg;Gymnasien (G9);Allgemeine Hochschulreife;14544;17918;32462;15135;18697;33832;13630;15645;29275;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baden-Württemberg;Gymnasien (G9);Insgesamt;15467;18738;34205;15791;19333;35124;13913;15797;29710;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baden-Württemberg;Gymnasien (G8);Ohne Hauptschulabschluss;73;52;125;79;82;161;100;63;163;72;68;140;88;69;157;87;56;143;85;59;144;101;60;161;167;117;284;152;88;240;37;16;53;78;48;126
Baden-Württemberg;Gymnasien (G8);Hauptschulabschluss;429;334;763;581;437;1018;662;478;1140;626;460;1086;693;528;1221;639;500;1139;627;469;1096;573;457;1030;596;404;1000;540;396;936;431;345;776;379;340;719
Baden-Württemberg;Gymnasien (G8);Mittlerer Schulabschluss;467;430;897;724;741;1465;1393;1222;2615;1743;1475;3218;1809;1589;3398;1803;1622;3425;1953;1680;3633;1973;1611;3584;2467;1957;4424;2358;1994;4352;2221;2059;4280;2332;2154;4486
Baden-Württemberg;Gymnasien (G8);Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baden-Württemberg;Gymnasien (G8);Allgemeine Hochschulreife;-;-;-;-;-;-;13079;15527;28606;15084;17174;32258;14631;17333;31964;15638;17939;33577;15273;17895;33168;15236;17282;32518;14687;17029;31716;13804;16714;30518;12854;15467;28321;12393;14808;27201
Baden-Württemberg;Gymnasien (G8);Insgesamt;969;816;1785;1384;1260;2644;15234;17290;32524;17525;19177;36702;17221;19519;36740;18167;20117;38284;17938;20103;38041;17883;19410;37293;17917;19507;37424;16854;19192;36046;15543;17887;33430;15182;17350;32532
Baden-Württemberg;Integrierte Gesamtschulen;Ohne Hauptschulabschluss;1;4;5;1;1;2;1;1;2;-;-;-;-;-;-;5;5;10;16;11;27;131;74;205;266;141;407;351;229;580;498;342;840;576;334;910
Baden-Württemberg;Integrierte Gesamtschulen;Hauptschulabschluss;74;58;132;61;70;131;45;38;83;61;47;108;42;41;83;54;29;83;37;34;71;506;286;792;1597;1005;2602;3012;1927;4939;3506;2470;5976;3536;2385;5921
Baden-Württemberg;Integrierte Gesamtschulen;Mittlerer Schulabschluss;145;110;255;147;136;283;162;105;267;145;146;291;155;135;290;161;148;309;140;120;260;154;133;287;871;681;1552;2001;1749;3750;3248;2793;6041;3784;3489;7273
Baden-Württemberg;Integrierte Gesamtschulen;Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baden-Württemberg;Integrierte Gesamtschulen;Allgemeine Hochschulreife;82;68;150;73;89;162;122;121;243;96;103;199;104;129;233;100;108;208;96;119;215;88;112;200;83;109;192;107;103;210;60;82;142;87;126;213
Baden-Württemberg;Integrierte Gesamtschulen;Insgesamt;302;240;542;282;296;578;330;265;595;302;296;598;301;305;606;320;290;610;289;284;573;879;605;1484;2817;1936;4753;5471;4008;9479;7312;5687;12999;7983;6334;14317
Baden-Württemberg;Freie Waldorfschulen;Ohne Hauptschulabschluss;18;29;47;22;21;43;32;26;58;42;40;82;21;26;47;31;22;53;35;24;59;56;51;107;64;57;121;51;54;105;33;44;77;23;35;58
Baden-Württemberg;Freie Waldorfschulen;Hauptschulabschluss;72;49;121;61;50;111;71;35;106;64;44;108;67;49;116;64;47;111;72;56;128;73;45;118;91;46;137;85;63;148;68;54;122;71;41;112
Baden-Württemberg;Freie Waldorfschulen;Mittlerer Schulabschluss;222;198;420;195;202;397;237;230;467;216;200;416;207;199;406;224;193;417;209;188;397;232;232;464;243;205;448;255;206;461;242;204;446;220;187;407
Baden-Württemberg;Freie Waldorfschulen;Fachhochschulreife;164;149;313;136;174;310;180;200;380;160;146;306;135;153;288;147;198;345;169;193;362;176;179;355;152;198;350;184;204;388;196;193;389;194;194;388
Baden-Württemberg;Freie Waldorfschulen;Allgemeine Hochschulreife;362;458;820;356;455;811;401;445;846;387;462;849;361;470;831;404;479;883;374;481;855;363;488;851;367;475;842;342;507;849;331;432;763;339;438;777
Baden-Württemberg;Freie Waldorfschulen;Insgesamt;838;883;1721;770;902;1672;921;936;1857;869;892;1761;791;897;1688;870;939;1809;859;942;1801;900;995;1895;917;981;1898;917;1034;1951;870;927;1797;847;895;1742
Baden-Württemberg;Förderschulen;Ohne Hauptschulabschluss;2401;1549;3950;2294;1523;3817;2305;1498;3803;2126;1478;3604;2243;1439;3682;2198;1376;3574;2205;1434;3639;2283;1407;3690;2201;1428;3629;2238;1340;3578;2325;1314;3639;2300;1392;3692
Baden-Württemberg;Förderschulen;Hauptschulabschluss;582;215;797;640;237;877;585;216;801;554;198;752;545;172;717;547;204;751;541;198;739;532;175;707;517;202;719;524;149;673;532;181;713;512;155;667
Baden-Württemberg;Förderschulen;Mittlerer Schulabschluss;87;44;131;95;51;146;104;56;160;165;89;254;192;80;272;192;82;274;202;95;297;227;88;315;188;90;278;153;72;225;169;75;244;206;90;296
Baden-Württemberg;Förderschulen;Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baden-Württemberg;Förderschulen;Allgemeine Hochschulreife;14;10;24;8;11;19;15;11;26;12;11;23;12;3;15;12;15;27;9;13;22;14;6;20;26;17;43;21;10;31;23;8;31;5;4;9
Baden-Württemberg;Förderschulen;Insgesamt;3084;1818;4902;3037;1822;4859;3009;1781;4790;2857;1776;4633;2992;1694;4686;2949;1677;4626;2957;1740;4697;3056;1676;4732;2932;1737;4669;2936;1571;4507;3049;1578;4627;3023;1641;4664
Baden-Württemberg;Insgesamt;Ohne Hauptschulabschluss;3798;2447;6245;3532;2390;5922;3575;2376;5951;3272;2245;5517;3539;2329;5868;3593;2175;5768;3712;2413;6125;4626;2813;7439;4289;2662;6951;3935;2346;6281;3484;2128;5612;3860;2349;6209
Baden-Württemberg;Insgesamt;Hauptschulabschluss;18043;13956;31999;17413;13399;30812;13295;10009;23304;13762;10190;23952;13031;9642;22673;12936;9269;22205;12668;9190;21858;10329;7324;17653;10511;6982;17493;10401;6690;17091;10433;7016;17449;9812;6383;16195
Baden-Württemberg;Insgesamt;Mittlerer Schulabschluss;25136;25014;50150;24660;24567;49227;25364;25291;50655;29180;28082;57262;29439;27797;57236;29340;27950;57290;29055;27075;56130;27725;26090;53815;26594;24008;50602;26049;24718;50767;26254;24413;50667;24771;23688;48459
Baden-Württemberg;Insgesamt;Fachhochschulreife;164;149;313;136;174;310;180;200;380;160;146;306;135;153;288;147;198;345;169;193;362;176;179;355;152;198;350;184;204;388;196;193;389;194;194;388
