Unnamed: 0,Unnamed: 1,Abschluss,Schuljahr,Schuljahr.1,Schuljahr.2,Schuljahr.3,Schuljahr.4,Schuljahr.5,Schuljahr.6,Schuljahr.7,Schuljahr.8,Schuljahr.9,Schuljahr.10,Schuljahr.11,Schuljahr.12,Schuljahr.13,Schuljahr.14,Schuljahr.15,Schuljahr.16,Schuljahr.17,Schuljahr.18,Schuljahr.19,Schuljahr.20,Schuljahr.21,Schuljahr.22,Schuljahr.23,Schuljahr.24,Schuljahr.25,Schuljahr.26,Schuljahr.27,Schuljahr.28,Schuljahr.29,Schuljahr.30,Schuljahr.31,Schuljahr.32,Schuljahr.33,Schuljahr.34,Schuljahr.35
Berlin,Förderschulen,Ohne Hauptschulabschluss,453,305,758,414,301,715,356,269,625,386,258,644,394,272,666,454,305,759,397,259,656,425,266,691,404,256,660,306,221,527,288,180,468,307,154,461
Berlin,Insgesamt,Ohne Hauptschulabschluss,1611,1119,2730,1462,1025,2487,1300,1039,2339,1209,906,2115,1398,1032,2430,1812,1197,3009,1493,997,2490,1721,1262,2983,1780,1175,2955,1621,1078,2699,1247,790,2037,1221,779,2000
Brandenburg,Hauptschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brandenburg,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,263,155,418,246,146,392,277,136,413,232,145,377,279,153,432,352,196,548,370,198,568,380,176,556,420,223,643,410,191,601,184,107,291,287,184,471
Brandenburg,Realschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brandenburg,Gymnasien (G9),Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brandenburg,Gymnasien (G8),Ohne Hauptschulabschluss,8,8,16,6,6,12,6,6,12,8,2,10,4,6,10,5,4,9,5,2,7,9,1,10,11,4,15,9,8,17,1,4,5,9,4,13
Brandenburg,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,82,22,104,42,23,65,34,14,48,46,18,64,21,23,44,46,20,66,41,22,63,51,31,82,51,26,77,71,37,108,14,15,29,52,32,84
Brandenburg,Freie Waldorfschulen,Ohne Hauptschulabschluss,1,1,2,2,1,3,-,-,-,2,1,3,1,-,1,-,3,3,3,2,5,5,6,11,5,3,8,2,-,2,1,-,1,3,4,7
Brandenburg,Förderschulen,Ohne Hauptschulabschluss,685,404,1089,566,373,939,608,358,966,598,380,978,603,372,975,558,372,930,546,334,880,565,340,905,533,352,885,504,347,851,511,297,808,495,320,815
Brandenburg,Insgesamt,Ohne Hauptschulabschluss,1039,590,1629,862,549,1411,925,514,1439,886,546,1432,908,554,1462,961,595,1556,965,558,1523,1010,554,1564,1020,608,1628,996,583,1579,711,423,1134,846,544,1390
Bremen,Hauptschulen,Ohne Hauptschulabschluss,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bremen,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,50,24,74,36,23,59,24,18,42,41,39,80,46,24,70,26,21,47,20,19,39,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
Bremen,Realschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bremen,Gymnasien (G9),Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,-,-,-,9,3,12,12,4,16,5,9,14,6,6,12,6,3,9,6,2,8
Bremen,Gymnasien (G8),Ohne Hauptschulabschluss,9,5,14,2,-,2,3,-,3,9,10,19,10,5,15,21,8,29,4,1,5,9,3,12,6,2,8,16,6,22,6,11,17,10,9,19
Bremen,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,57,52,109,69,54,123,105,62,167,85,55,140,110,83,193,131,80,211,142,119,261,285,187,472,295,189,484,309,227,536,314,224,538,333,232,565
Bremen,Freie Waldorfschulen,Ohne Hauptschulabschluss,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,1,1,2,-,-,-,-,2,2,-,-,-,-,-,-,1,-,1,1,-,1
Bremen,Förderschulen,Ohne Hauptschulabschluss,113,60,173,187,109,296,113,86,199,130,80,210,96,70,166,89,69,158,71,49,120,43,30,73,30,28,58,26,10,36,17,11,28,7,12,19
Bremen,Insgesamt,Ohne Hauptschulabschluss,229,141,370,294,188,482,245,167,412,265,184,449,266,182,448,268,179,447,246,191,437,349,226,575,336,228,564,358,249,607,344,249,593,357,255,612
Hamburg,Hauptschulen,Ohne Hauptschulabschluss,99,59,158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hamburg,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,55,32,87,134,102,236,125,107,232,12,17,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hamburg,Realschulen,Ohne Hauptschulabschluss,14,8,22,2,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hamburg,Gymnasien (G9),Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hamburg,Gymnasien (G8),Ohne Hauptschulabschluss,2,2,4,1,1,2,2,-,2,-,1,1,-,-,-,2,-,2,4,1,5,18,10,28,15,12,27,15,6,21,19,11,30,8,7,15
Hamburg,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,125,128,253,86,87,173,96,66,162,110,104,214,193,148,341,251,192,443,334,244,578,304,256,560,403,273,676,366,216,582,424,283,707,384,206,590
Hamburg,Freie Waldorfschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,3,2,5
Hamburg,Förderschulen,Ohne Hauptschulabschluss,413,287,700,368,236,604,357,240,597,273,180,453,268,146,414,269,181,450,253,156,409,190,118,308,238,143,381,225,150,375,252,126,378,209,126,335
Hamburg,Insgesamt,Ohne Hauptschulabschluss,708,516,1224,591,429,1020,580,413,993,395,302,697,461,294,755,523,374,897,591,401,992,512,384,896,656,428,1084,606,372,978,697,422,1119,604,341,945
Hessen,Hauptschulen,Ohne Hauptschulabschluss,571,429,1000,460,372,832,479,336,815,441,295,736,427,282,709,295,197,492,395,264,659,389,255,644,402,204,606,417,255,672,317,194,511,432,317,749
Hessen,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,6,4,10,7,5,12,26,12,38,24,24,48,54,35,89,57,27,84,44,25,69,47,37,84
Hessen,Realschulen,Ohne Hauptschulabschluss,111,64,175,92,68,160,88,55,143,91,57,148,62,36,98,57,22,79,54,26,80,83,52,135,77,43,120,80,41,121,17,13,30,43,24,67
Hessen,Gymnasien (G9),Ohne Hauptschulabschluss,2,4,6,1,2,3,2,1,3,-,2,2,2,-,2,3,3,6,3,1,4,6,3,9,5,3,8,5,3,8,1,1,2,6,2,8
Hessen,Gymnasien (G8),Ohne Hauptschulabschluss,-,-,-,24,14,38,23,29,52,18,14,32,13,15,28,11,4,15,11,8,19,7,6,13,2,3,5,3,-,3,-,-,-,-,-,-
Hessen,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,246,158,404,220,173,393,258,173,431,211,156,367,250,157,407,146,119,265,289,219,508,328,217,545,354,272,626,362,248,610,291,175,466,395,296,691
Hessen,Freie Waldorfschulen,Ohne Hauptschulabschluss,-,1,1,-,2,2,7,-,7,1,2,3,-,-,-,1,-,1,-,-,-,1,-,1,-,1,1,2,-,2,2,1,3,-,-,-
Hessen,Förderschulen,Ohne Hauptschulabschluss,1426,851,2277,1183,759,1942,1170,730,1900,1030,711,1741,1093,684,1777,1069,603,1672,1169,740,1909,1032,666,1698,985,571,1556,976,568,1544,935,539,1474,957,596,1553
Hessen,Insgesamt,Ohne Hauptschulabschluss,2356,1507,3863,1980,1390,3370,2027,1324,3351,1792,1237,3029,1853,1178,3031,1589,953,2542,1947,1270,3217,1870,1223,3093,1879,1132,3011,1902,1142,3044,1607,948,2555,1880,1272,3152
Mecklenburg-Vorpommern,Hauptschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mecklenburg-Vorpommern,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,233,122,355,171,123,294,167,83,250,204,94,298,219,125,344,205,117,322,268,166,434,306,165,471,360,173,533,341,201,542,204,105,309,316,188,504
Mecklenburg-Vorpommern,Realschulen,Ohne Hauptschulabschluss,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mecklenburg-Vorpommern,Gymnasien (G9),Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mecklenburg-Vorpommern,Gymnasien (G8),Ohne Hauptschulabschluss,1,-,1,-,1,1,-,-,-,2,-,2,2,-,2,-,-,-,1,-,1,6,1,7,4,2,6,3,2,5,1,2,3,2,1,3
Mecklenburg-Vorpommern,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,10,12,22,17,7,24,28,14,42,23,17,40,33,12,45,21,25,46,23,24,47,25,20,45,35,15,50,33,29,62,19,17,36,23,16,39
Mecklenburg-Vorpommern,Freie Waldorfschulen,Ohne Hauptschulabschluss,1,-,1,-,-,-,2,2,4,1,-,1,-,1,1,-,1,1,3,1,4,1,-,1,3,4,7,-,3,3,1,3,4,3,2,5
Mecklenburg-Vorpommern,Förderschulen,Ohne Hauptschulabschluss,632,422,1054,632,394,1026,586,384,970,496,318,814,344,225,569,417,214,631,440,249,689,388,221,609,400,198,598,396,217,613,346,221,567,342,182,524
Mecklenburg-Vorpommern,Insgesamt,Ohne Hauptschulabschluss,878,556,1434,820,525,1345,783,483,1266,726,429,1155,598,363,961,643,357,1000,735,440,1175,726,407,1133,802,392,1194,773,452,1225,571,348,919,686,389,1075
Niedersachsen,Hauptschulen,Ohne Hauptschulabschluss,1288,816,2104,1171,807,1978,1110,771,1881,923,634,1557,907,651,1558,869,584,1453,702,443,1145,705,455,1160,759,429,1188,725,405,1130,518,356,874,500,309,809
Niedersachsen,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,302,160,462,613,347,960,763,469,1232,1004,625,1629,818,527,1345,787,528,1315
Niedersachsen,Realschulen,Ohne Hauptschulabschluss,89,44,133,71,50,121,91,60,151,88,45,133,67,48,115,67,42,109,63,48,111,113,59,172,113,65,178,102,68,170,59,23,82,48,39,87
Niedersachsen,Gymnasien (G9),Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,21,82,32,20,52,47,39,86,10,9,19,13,8,21
Niedersachsen,Gymnasien (G8),Ohne Hauptschulabschluss,19,11,30,12,11,23,18,15,33,25,18,43,13,12,25,13,12,25,30,21,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Niedersachsen,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,67,42,109,71,50,121,42,34,76,51,36,87,68,49,117,121,102,223,123,89,212,192,135,327,289,190,479,369,238,607,339,280,619,382,259,641
Niedersachsen,Freie Waldorfschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,3,11,2,4,6,1,3,4,6,3,9,7,2,9,5,7,12
Niedersachsen,Förderschulen,Ohne Hauptschulabschluss,1824,1018,2842,1765,1077,2842,1638,994,2632,1569,983,2552,1477,953,2430,1592,937,2529,1448,851,2299,1356,767,2123,1252,708,1960,1160,633,1793,1075,589,1664,1126,579,1705
Niedersachsen,Insgesamt,Ohne Hauptschulabschluss,3287,1931,5218,3090,1995,5085,2899,1874,4773,2656,1716,4372,2532,1713,4245,2662,1677,4339,2676,1615,4291,3042,1788,4830,3209,1884,5093,3413,2011,5424,2826,1786,4612,2861,1729,4590
Nordrhein-Westfalen,Hauptschulen,Ohne Hauptschulabschluss,2267,1442,3709,1955,1322,3277,1876,1285,3161,1973,1393,3366,1886,1308,3194,1590,1127,2717,1787,1140,2927,1660,1083,2743,1522,973,2495,1317,819,2136,864,594,1458,945,655,1600
Nordrhein-Westfalen,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,1,1,10,5,15,10,14,24,30,24,54,102,70,172,217,134,351,372,237,609,339,216,555,390,205,595
Nordrhein-Westfalen,Realschulen,Ohne Hauptschulabschluss,331,214,545,287,204,491,265,230,495,325,235,560,288,202,490,158,127,285,205,148,353,364,220,584,510,368,878,570,378,948,390,252,642,485,315,795
Nordrhein-Westfalen,Gymnasien (G9),Ohne Hauptschulabschluss,-,-,-,-,-,-,3,6,9,6,11,17,5,2,7,4,2,6,3,7,10,7,10,17,6,4,10,15,15,30,9,12,21,10,15,25
Nordrhein-Westfalen,Gymnasien (G8),Ohne Hauptschulabschluss,81,72,153,144,107,251,173,104,277,227,159,386,408,338,746,294,323,617,355,346,701,517,393,910,596,415,1011,354,276,630,294,222,516,285,265,550
Nordrhein-Westfalen,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,515,419,934,451,364,815,387,308,695,416,377,793,374,380,754,360,270,630,429,312,741,583,445,1028,742,527,1269,966,669,1635,873,537,1410,865,575,1440
Nordrhein-Westfalen,Freie Waldorfschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,3,3,2,3,5,4,2,6,1,3,4,19,18,37,27,21,48,21,17,38,24,27,51,21,18,39,10,15,25
Nordrhein-Westfalen,Förderschulen,Ohne Hauptschulabschluss,3947,2694,6641,3782,2586,6368,3590,2461,6051,3684,2378,6062,3950,2533,6483,4045,2726,6771,3625,2357,5982,3521,2126,5647,3488,1982,5470,3408,1977,5385,3240,1830,5067,3310,1790,5100
Nordrhein-Westfalen,Insgesamt,Ohne Hauptschulabschluss,7141,4841,11982,6619,4583,11202,6294,4397,10691,6633,4557,11190,6925,4770,11695,6462,4592,11054,6453,4352,10805,6781,4368,11149,7102,4420,11522,7023,4398,11421,6030,3678,9708,6295,3830,10125
Rheinland-Pfalz,Hauptschulen,Ohne Hauptschulabschluss,289,199,488,119,101,220,58,28,86,37,16,53,14,8,22,3,2,5,4,5,9,8,2,10,2,-,2,4,1,5,3,1,4,3,1,4
Rheinland-Pfalz,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,265,145,410,410,228,638,442,270,712,490,260,750,470,302,772,522,307,829,603,296,899,609,411,1020,708,363,1071,741,375,1116,458,261,719,714,438,1152
Rheinland-Pfalz,Realschulen,Ohne Hauptschulabschluss,56,28,84,7,5,12,5,5,10,8,3,11,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,8,8,-,-,-,-,2,2
Rheinland-Pfalz,Gymnasien (G9),Ohne Hauptschulabschluss,21,17,38,21,8,29,14,17,31,2,-,2,9,1,10,9,-,9,6,-,6,10,4,14,19,8,27,15,14,29,8,13,21,17,11,28
