Bundesland;Schulform;Schulabschluss;09_10_m;09_10_w;09_10_ins;10_11_m;10_11_w;10_11_ins;11_12_m;11_12_w;11_12_ins;12_13_m;12_13_w;12_13_ins;13_14_m;13_14_w;13_14_ins;14_15_m;14_15_w;14_15_ins;15_16_m;15_16_w;15_16_ins;16_17_m;16_17_w;16_17_ins;17_18_m;17_18_w;17_18_ins;18_19_m;18_19_w;18_19_ins;19_20_m;19_20_w;19_20_ins;20_21_m;20_21_w;20_21_ins
Brandenburg;Insgesamt;Insgesamt;9843;10191;20034;8404;8111;16515;10388;9930;20318;9293;8726;18019;9480;8722;18202;10845;10007;20852;10873;10132;21005;10963;10400;21363;11305;10401;21706;11109;10036;21145;10749;9983;20732;11228;10630;21858
Bremen;Insgesamt;Ohne Hauptschulabschluss;229;141;370;294;188;482;245;167;412;265;184;449;266;182;448;268;179;447;246;191;437;349;226;575;336;228;564;358;249;607;344;249;593;357;255;612
Bremen;Insgesamt;Hauptschulabschluss;943;790;1733;933;761;1694;911;713;1624;923;652;1575;879;634;1513;787;608;1395;744;517;1261;789;538;1327;815;553;1368;792;579;1371;861;651;1512;872;600;1472
Bremen;Insgesamt;Mittlerer Schulabschluss;1402;1386;2788;1370;1393;2763;1409;1349;2758;1396;1271;2667;1356;1324;2680;1455;1315;2770;1298;1165;2463;1300;1196;2496;1312;1086;2398;1153;1051;2204;1102;1054;2156;1144;1019;2163
Bremen;Insgesamt;Fachhochschulreife;51;63;114;61;79;140;40;53;93;57;93;150;51;56;107;146;100;246;-;-;-;-;-;-;106;139;245;-;-;-;168;164;332;138;127;265
Bremen;Insgesamt;Allgemeine Hochschulreife;1219;1462;2681;1308;1552;2860;1775;2114;3889;1351;1422;2773;1265;1521;2786;1391;1611;3002;1275;1556;2831;1189;1403;2592;1215;1356;2571;1036;1320;2356;1153;1397;2550;1123;1400;2523
Bremen;Insgesamt;Insgesamt;3844;3842;7686;3966;3973;7939;4380;4396;8776;3992;3622;7614;3817;3717;7534;4047;3813;7860;3563;3429;6992;3627;3363;6990;3784;3362;7146;3339;3199;6538;3628;3515;7143;3634;3401;7035
Hamburg;Insgesamt;Ohne Hauptschulabschluss;708;516;1224;591;429;1020;580;413;993;395;302;697;461;294;755;523;374;897;591;401;992;512;384;896;656;428;1084;606;372;978;697;422;1119;604;341;945
Hamburg;Insgesamt;Hauptschulabschluss;1532;1166;2698;1371;988;2359;1413;1133;2546;883;628;1511;1477;1009;2486;1593;1189;2782;1471;1117;2588;1915;1263;3178;1866;1272;3138;1764;1236;3000;1794;1192;2986;1560;1107;2667
Hamburg;Insgesamt;Mittlerer Schulabschluss;2077;1916;3993;1767;1563;3330;1756;1561;3317;1965;1726;3691;2044;1726;3770;2045;1798;3843;2142;1802;3944;2150;1884;4034;2229;1772;4001;2054;1688;3742;2156;1690;3846;2026;1643;3669
