Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;43.507;40.698;14.412;9.801;2.762;9.351;19.475;5.240;30.963;82.046;16.867;3.537;12.968;5.580;12.282;6.389
- bestanden;42.464;39.463;13.939;9.361;2.635;9.144;18.835;4.948;30.065;79.618;16.359;3.416;12.610;5.361;11.795;6.279
- nicht bestanden (abs.);1.043;1.235;473;440;127;207;640;292;898;2.428;508;121;358;219;487;110
- nicht bestanden (%);2,4;3,0;3,3;4,5;4,6;2,2;3,3;5,6;2,9;3,0;3,0;3,4;2,8;3,9;4,0;1,7
Notenmittel;2,23;2,18;2,24;2,17;2,32;2,27;2,25;2,21;2,38;2,36;2,48;2,26;2,12;2,25;2,41;2,06
Note;Verteilung in %;;;;;;;;;;;;;;;
1,0;3,7;3,3;3,5;3,7;2,8;2,9;4,2;3,7;2,2;3,0;1,3;4,0;3,7;3,2;1,8;5,0
1,1;2,0;2,0;2,0;2,1;2,0;2,1;1,8;2,0;1,3;1,6;1,0;2,0;2,2;1,8;1,2;2,8
1,2;2,5;2,7;2,6;2,5;2,0;2,3;2,5;2,4;1,7;2,0;1,3;2,4;3,0;2,0;1,5;3,4
1,3;2,9;2,9;2,8;3,1;2,5;2,7;2,8;2,6;2,2;2,4;1,6;3,0;3,6;2,4;1,8;3,7
1,4;3,2;3,2;3,2;3,3;3,2;2,9;3,0;3,4;2,3;2,6;1,9;2,4;4,0;3,2;2,4;4,1
1,5;3,7;4,0;3,4;4,0;3,0;3,7;3,6;3,6;2,7;2,9;2,4;3,1;4,3;3,1;2,5;5,0
1,6;4,0;4,2;4,0;4,3;3,4;3,8;3,8;3,9;3,1;3,2;2,8;3,4;4,5;4,2;3,1;5,5
1,7;4,2;4,8;4,5;4,6;3,8;4,2;3,9;4,4;3,5;3,6;3,1;4,4;5,1;4,2;3,2;4,8
1,8;4,5;4,8;4,6;4,8;4,0;3,9;4,6;4,6;3,9;3,7;3,3;4,4;5,3;4,8;3,8;5,3
1,9;4,8;5,3;4,8;5,4;4,0;4,9;4,5;5,2;4,2;4,2;3,9;4,5;5,6;4,6;3,9;5,4
2,0;4,8;5,2;4,4;5,1;3,7;4,8;4,5;5,1;4,0;4,0;4,2;4,1;5,4;5,1;5,2;5,7
2,1;5,0;5,7;5,0;5,3;4,5;4,8;4,7;5,0;4,5;4,5;4,1;4,9;5,8;5,3;4,3;5,1
2,2;5,1;5,8;4,9;5,6;5,0;5,4;4,9;5,1;4,7;4,7;4,3;5,1;5,4;5,2;5,1;5,2
2,3;5,1;5,7;5,3;5,2;4,9;4,6;5,2;5,2;5,2;4,9;4,9;4,3;5,4;5,2;5,1;5,5
2,4;5,2;5,7;4,9;5,3;5,6;5,2;4,8;5,0;5,6;5,0;5,0;5,2;5,5;4,8;4,9;5,5
2,5;5,0;5,3;4,5;5,8;5,2;5,2;5,0;5,5;5,4;5,0;5,2;5,3;4,8;5,5;5,6;4,7
2,6;4,9;5,0;4,8;5,2;5,2;5,2;4,9;5,2;5,5;5,1;5,1;4,9;4,6;5,2;5,4;4,0
2,7;4,5;4,8;4,8;4,9;5,4;4,9;5,1;5,0;5,3;5,0;5,6;5,2;4,3;5,1;5,7;4,2
2,8;4,7;4,5;4,6;4,2;5,0;4,5;4,5;5,1;5,2;4,9;5,5;5,5;4,0;4,9;5,6;4,0
2,9;4,1;3,9;4,1;4,1;4,7;4,4;4,6;4,9;5,3;5,2;5,3;5,0;3,3;4,6;5,2;3,2
3,0;3,8;3,4;4,1;3,7;4,9;3,8;3,9;4,0;4,9;4,6;5,4;4,5;3,1;4,0;4,9;2,7
3,1;3,4;2,7;3,7;2,7;4,3;3,6;3,7;3,2;4,2;4,4;5,4;3,2;2,6;3,7;4,3;2,1
3,2;2,9;2,1;3,3;2,1;4,0;3,5;3,2;2,5;3,9;3,9;4,8;3,7;1,9;3,2;3,9;1,5
3,3;2,4;1,5;2,6;1,4;2,8;2,9;2,5;1,8;3,5;3,6;4,3;2,6;1,3;2,7;3,5;1,0
3,4;1,8;0,9;1,8;0,9;2,1;1,7;1,8;0,8;2,7;2,7;3,7;1,3;0,7;1,3;2,7;0,5
3,5;1,1;0,5;1,1;0,5;1,4;1,1;1,2;0,5;1,7;1,9;2,3;0,9;0,4;0,5;1,8;0,3
3,6;0,5;0,2;0,5;0,1;0,5;0,6;0,6;0,1;0,8;0,9;1,5;0,3;0,1;0,1;0,9;0,1
3,7;0,2;0,1;0,2;0,0;0,2;0,1;0,3;0,0;0,3;0,4;0,5;0,3;0,0;0,1;0,4;0,0
3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,0;0,0;0,0;0,2;0,0
3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0
4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0
