Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;75.286;42.467;18.695;10.193;4.519;8.583;25.472;3.691;34.589;84.703;16.683;3.542;8.070;4.501;11.629;5.236
- bestanden;73.513;40.797;17.965;9.793;4.281;8.238;24.796;3.526;32.682;83.092;16.456;3.439;7.819;4.318;11.105;5.128
- nicht bestanden (abs.);1.773;1.670;730;400;238;345;676;165;1.907;1.611;227;103;251;183;524;108
- nicht bestanden (%);2,4;3,9;3,9;3,9;5,3;4,0;2,7;4,5;5,5;1,9;1,4;2,9;3,1;4,1;4,5;2,1
Notenmittel;2,41;2,35;2,40;2,33;2,45;2,46;2,43;2,43;2,65;2,51;2,58;2,45;2,39;2,42;2,52;2,19
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;1.056;553;234;186;76;113;375;49;178;1.160;163;40;67;86;99;154
1,1;683;424;186;124;50;90;268;30;134;837;112;34;75;44;77;90
1,2;946;542;282;178;68;107;333;50;184;1.092;160;55;97;57;113;128
1,3;1.267;734;314;198;81;123;436;61;248;1.324;185;55;126;66;140;159
1,4;1.603;967;420;268;95;173;558;79;387;1.558;238;72;172;105;155;187
1,5;1.877;1.136;439;297;93;196;675;91;488;1.980;288;77;209;104;208;188
1,6;2.229;1.269;559;330;126;205;769;105;565;2.222;351;85;242;141;251;232
1,7;2.492;1.475;631;366;148;269;774;105;625;2.427;417;94;289;136;296;253
1,8;2.861;1.763;691;420;140;287;941;130;802;2.895;492;109;311;140;360;265
1,9;3.179;1.946;798;466;137;334;1.019;142;899;2.927;498;135;367;160;390;296
2,0;3.256;1.966;743;454;177;361;1.080;159;994;3.199;628;140;349;187;450;262
2,1;3.462;2.191;924;493;193;365;1.099;157;1.184;3.423;647;163;371;208;455;266
2,2;3.797;2.298;890;517;199;364;1.216;180;1.326;3.707;703;167;440;195;516;266
2,3;4.123;2.342;973;538;236;404;1.262;162;1.494;3.839;799;204;438;236;528;278
2,4;4.041;2.459;1.012;538;176;407;1.271;180;1.572;3.849;827;162;464;246;571;271
2,5;4.236;2.470;978;558;264;473;1.312;209;1.707;4.400;813;191;461;247;657;280
2,6;4.116;2.339;1.042;521;206;467;1.349;192;1.910;4.433;934;197;462;249;682;215
2,7;4.142;2.345;1.046;543;235;479;1.316;225;2.027;4.421;933;222;451;235;679;231
2,8;3.925;2.288;1.070;529;237;445;1.336;202;2.139;4.618;1.014;214;434;242;716;233
2,9;3.715;2.022;986;489;208;476;1.401;183;2.272;4.395;902;185;438;214;697;188
3,0;3.516;1.829;816;462;240;439;1.286;193;2.102;4.247;936;212;369;220;673;191
3,1;3.308;1.631;845;417;201;418;1.189;169;2.217;4.139;989;177;347;188;649;157
3,2;2.918;1.357;690;339;227;371;1.040;164;2.074;4.046;947;158;288;189;554;136
3,3;2.592;983;571;266;151;334;886;133;1.847;3.599;831;129;245;147;490;86
3,4;1.972;731;429;171;141;255;702;97;1.558;2.997;681;90;155;125;344;58
3,5;1.308;439;222;79;99;157;494;50;1.040;2.559;497;51;88;93;213;46
3,6;632;167;105;38;54;82;278;20;500;1.701;282;19;51;42;83;8
3,7;211;82;43;7;19;40;110;8;171;807;145;2;11;13;40;3
3,8;44;26;20;0;4;0;15;0;33;252;29;0;2;2;11;0
3,9;4;11;6;1;0;2;6;1;5;30;6;0;0;1;0;1
4,0;2;12;0;0;0;2;0;0;0;9;9;0;0;0;8;0
