Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;75.286;42.467;18.695;10.193;4.519;8.583;25.472;3.691;34.589;84.703;16.683;3.542;8.070;4.501;11.629;5.236
- bestanden;73.513;40.797;17.965;9.793;4.281;8.238;24.796;3.526;32.682;83.092;16.456;3.439;7.819;4.318;11.105;5.128
- nicht bestanden (abs.);1.773;1.670;730;400;238;345;676;165;1.907;1.611;227;103;251;183;524;108
- nicht bestanden (%);2,4;3,9;3,9;3,9;5,3;4,0;2,7;4,5;5,5;1,9;1,4;2,9;3,1;4,1;4,5;2,1
Notenmittel;2,41;2,35;2,40;2,33;2,45;2,46;2,43;2,43;2,65;2,51;2,58;2,45;2,39;2,42;2,52;2,19
Note;Verteilung in %;;;;;;;;;;;;;;;
1,0;1,44;1,36;1,30;1,90;1,78;1,37;1,51;1,39;0,54;1,40;0,99;1,16;0,86;1,99;0,89;3,00
1,1;0,93;1,04;1,04;1,27;1,17;1,09;1,08;0,85;0,41;1,01;0,68;0,99;0,96;1,02;0,69;1,76
1,2;1,29;1,33;1,57;1,82;1,59;1,30;1,34;1,42;0,56;1,31;0,97;1,60;1,24;1,32;1,02;2,50
1,3;1,72;1,80;1,75;2,02;1,89;1,49;1,76;1,73;0,76;1,59;1,12;1,60;1,61;1,53;1,26;3,10
1,4;2,18;2,37;2,34;2,74;2,22;2,10;2,25;2,24;1,18;1,88;1,45;2,09;2,20;2,43;1,40;3,65
1,5;2,55;2,78;2,44;3,03;2,17;2,38;2,72;2,58;1,49;2,38;1,75;2,24;2,67;2,41;1,87;3,67
1,6;3,03;3,11;3,11;3,37;2,94;2,49;3,10;2,98;1,73;2,67;2,13;2,47;3,10;3,27;2,26;4,52
1,7;3,39;3,62;3,51;3,74;3,46;3,27;3,12;2,98;1,91;2,92;2,53;2,73;3,70;3,15;2,67;4,93
1,8;3,89;4,32;3,85;4,29;3,27;3,48;3,79;3,69;2,45;3,48;2,99;3,17;3,98;3,24;3,24;5,17
1,9;4,32;4,77;4,44;4,76;3,20;4,05;4,11;4,03;2,75;3,52;3,03;3,93;4,69;3,71;3,51;5,77
2,0;4,43;4,82;4,14;4,64;4,13;4,38;4,36;4,51;3,04;3,85;3,82;4,07;4,46;4,33;4,05;5,11
2,1;4,71;5,37;5,14;5,03;4,51;4,43;4,43;4,45;3,62;4,12;3,93;4,74;4,74;4,82;4,10;5,19
2,2;5,17;5,63;4,95;5,28;4,65;4,42;4,90;5,10;4,06;4,46;4,27;4,86;5,63;4,52;4,65;5,19
2,3;5,61;5,74;5,42;5,49;5,51;4,90;5,09;4,59;4,57;4,62;4,86;5,93;5,60;5,47;4,75;5,42
2,4;5,50;6,03;5,63;5,49;4,11;4,94;5,13;5,10;4,81;4,63;5,03;4,71;5,93;5,70;5,14;5,28
2,5;5,76;6,05;5,44;5,70;6,17;5,74;5,29;5,93;5,22;5,30;4,94;5,55;5,90;5,72;5,92;5,46
2,6;5,60;5,73;5,80;5,32;4,81;5,67;5,44;5,45;5,84;5,34;5,68;5,73;5,91;5,77;6,14;4,19
2,7;5,63;5,75;5,82;5,54;5,49;5,81;5,31;6,38;6,20;5,32;5,67;6,46;5,77;5,44;6,11;4,50
2,8;5,34;5,61;5,96;5,40;5,54;5,40;5,39;5,73;6,54;5,56;6,16;6,22;5,55;5,60;6,45;4,54
2,9;5,05;4,96;5,49;4,99;4,86;5,78;5,65;5,19;6,95;5,29;5,48;5,38;5,60;4,96;6,28;3,67
3,0;4,78;4,48;4,54;4,72;5,61;5,33;5,19;5,47;6,43;5,11;5,69;6,16;4,72;5,09;6,06;3,72
3,1;4,50;4,00;4,70;4,26;4,70;5,07;4,80;4,79;6,78;4,98;6,01;5,15;4,44;4,35;5,84;3,06
3,2;3,97;3,33;3,84;3,46;5,30;4,50;4,19;4,65;6,35;4,87;5,75;4,59;3,68;4,38;4,99;2,65
3,3;3,53;2,41;3,18;2,72;3,53;4,05;3,57;3,77;5,65;4,33;5,05;3,75;3,13;3,40;4,41;1,68
3,4;2,68;1,79;2,39;1,75;3,29;3,10;2,83;2,75;4,77;3,61;4,14;2,62;1,98;2,89;3,10;1,13
3,5;1,78;1,08;1,24;0,81;2,31;1,91;1,99;1,42;3,18;3,08;3,02;1,48;1,13;2,15;1,92;0,90
3,6;0,86;0,41;0,58;0,39;1,26;1,00;1,12;0,57;1,53;2,05;1,71;0,55;0,65;0,97;0,75;0,16
3,7;0,29;0,20;0,24;0,07;0,44;0,49;0,44;0,23;0,52;0,97;0,88;0,06;0,14;0,30;0,36;0,06
3,8;0,06;0,06;0,11;0,00;0,09;0,00;0,06;0,00;0,10;0,30;0,18;0,00;0,03;0,05;0,10;0,00
3,9;0,01;0,03;0,03;0,01;0,00;0,02;0,02;0,03;0,02;0,04;0,04;0,00;0,00;0,02;0,00;0,02
4,0;0,00;0,03;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,05;0,00;0,00;0,00;0,07;0,00
