Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;45.903;39.144;14.371;9.453;2.762;9.326;23.229;5.433;10.471;83.308;16.867;3.366;12.935;5.676;13.061;6.640
- bestanden;44.975;38.104;13.866;9.023;2.644;9.077;22.391;5.103;9.884;80.733;16.359;3.277;12.536;5.676;12.446;6.534
- nicht bestanden (abs.);928;1.040;505;430;118;249;838;330;587;2.575;508;89;399;0;615;106
- nicht bestanden (%);2,0;2,7;3,5;4,5;4,3;2,7;3,6;6,1;5,6;3,1;3,0;2,6;3,1;0,0;4,7;1,6
Notenmittel;2,38;2,29;2,35;2,28;2,40;2,36;2,33;2,34;2,67;2,43;2,48;2,37;2,20;2,33;2,52;2,16
Note;Verteilung in %;;;;;;;;;;;;;;;
1,0;2,2;2,3;2,4;2,6;2,3;2,1;2,9;2,6;0,6;2,2;1,3;2,7;2,9;2,5;1,3;3,2
1,1;1,3;1,6;1,6;1,4;1,4;1,5;1,7;1,4;0,4;1,3;1,0;1,6;1,7;1,2;0,8;2,2
1,2;1,7;2,0;2,0;1,8;1,7;1,7;2,0;1,6;0,6;1,7;1,3;1,7;2,0;1,8;1,2;2,6
1,3;2,1;2,4;2,3;2,4;2,4;2,4;2,2;2,8;0,7;2,0;1,6;2,1;2,9;2,1;1,4;2,9
1,4;2,4;2,8;2,8;2,8;2,5;2,5;3,0;2,7;0,9;2,3;1,9;2,7;3,4;2,5;1,7;3,7
1,5;2,8;3,1;3,2;3,4;3,2;2,9;3,2;2,6;1,4;2,6;2,4;2,8;3,9;3,2;2,0;4,2
1,6;3,4;3,7;3,1;3,5;2,6;3,2;3,4;3,2;1,4;3,0;2,8;3,1;4,1;3,0;2,6;4,4
1,7;3,3;4,0;3,9;3,9;2,9;3,4;3,8;3,6;1,9;3,2;3,1;3,4;4,5;3,9;2,8;4,8
1,8;4,0;4,4;3,9;4,5;4,0;4,2;4,1;4,2;2,5;3,5;3,3;3,3;4,8;4,3;3,1;4,9
1,9;4,1;4,8;4,4;4,9;4,0;4,3;4,3;4,3;2,8;4,0;3,9;4,1;5,3;4,7;3,5;5,7
2,0;4,3;4,7;4,2;4,7;3,4;4,2;4,4;4,3;2,9;3,9;4,2;3,8;5,6;4,7;3,6;5,1
2,1;4,6;5,1;4,5;5,0;4,1;4,5;4,6;5,4;3,6;4,4;4,1;4,5;5,6;4,8;4,1;5,7
2,2;4,9;5,4;4,6;5,2;4,1;5,0;4,8;4,9;3,9;4,5;4,3;4,7;5,7;4,7;4,1;5,3
2,3;5,1;5,6;5,0;5,7;5,1;5,2;5,1;5,1;4,0;4,6;4,9;4,9;5,8;5,8;4,7;5,5
2,4;5,4;5,4;5,2;6,0;5,6;5,3;5,3;5,8;4,9;5,1;5,0;5,4;5,4;5,9;5,3;5,7
2,5;5,5;5,4;5,0;5,2;5,3;5,2;5,4;4,9;4,8;5,1;5,2;5,8;5,4;5,3;5,4;5,4
2,6;5,5;5,5;4,9;5,4;5,3;5,3;5,0;5,1;5,9;5,2;5,1;5,3;5,4;5,5;5,7;4,8
2,7;5,3;5,3;5,5;5,6;5,9;5,6;5,1;5,5;6,0;5,2;5,6;6,0;4,8;5,0;5,8;4,7
2,8;5,2;5,2;5,4;5,4;5,5;5,3;5,0;5,1;6,2;5,3;5,5;5,5;4,5;5,1;6,0;4,3
2,9;5,1;4,6;5,1;5,1;5,3;5,0;4,7;5,0;7,0;5,3;5,3;5,3;4,3;4,9;6,2;4,1
3,0;4,4;4,1;4,9;4,2;4,9;4,8;4,2;4,2;6,6;4,9;5,4;4,5;3,5;4,8;6,0;2,9
3,1;4,3;3,8;3,9;3,9;4,8;4,5;4,2;4,6;7,1;4,9;5,4;4,8;3,0;4,7;5,4;3,0
3,2;3,8;3,1;3,9;3,0;3,9;3,6;3,5;4,1;6,4;4,5;4,8;4,7;2,4;4,0;5,0;2,0
3,3;3,3;2,4;3,3;2,2;3,7;3,4;3,0;3,4;6,4;3,9;4,3;3,5;1,6;2,8;4,4;1,8
3,4;2,6;1,7;2,4;1,2;2,3;2,3;2,3;1,8;4,8;3,2;3,7;2,2;1,1;1,8;3,5;0,8
3,5;1,8;1,0;1,5;0,7;2,1;1,7;1,4;1,4;3,5;2,3;2,3;1,1;0,3;0,8;2,3;0,3
3,6;1,0;0,5;0,8;0,2;0,8;0,7;0,9;0,4;1,8;1,4;1,5;0,5;0,2;0,2;1,4;0,1
3,7;0,3;0,2;0,2;0,0;0,5;0,2;0,4;0,1;0,7;0,5;0,5;0,0;0,0;0,0;0,5;0,1
3,8;0,1;0,0;0,0;0,0;0,1;0,0;0,1;0,0;0,1;0,1;0,1;0,0;0,0;0,0;0,2;0,0
3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0
4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
