Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;48.937;43.073;15.198;9.803;2.722;9.479;23.108;5.420;34.286;84.658;17.591;3.336;13.069;5.981;14.044;6.962
- bestanden;47.436;41.392;14.409;9.332;2.583;9.015;22.232;5.024;32.414;81.898;17.001;3.211;12.660;5.675;13.296;6.799
- nicht bestanden (abs.);1.501;1.681;789;471;139;464;876;396;1.872;2.760;590;125;409;306;748;163
- nicht bestanden (%);3,1;3,9;5,2;4,8;5,1;4,9;3,8;7,3;5,5;3,3;3,4;3,7;3,1;5,1;5,3;2,3
Notenmittel;2,41;2,32;2,42;2,27;2,40;2,42;2,37;2,34;2,56;2,44;2,49;2,37;2,24;2,32;2,55;2,18
Note;Häufigkeit;;;;;;;;;;;;;;;
1,0;821;847;288;230;55;141;549;109;370;1.578;277;68;308;144;117;200
1,1;532;546;162;159;28;103;312;55;228;983;162;41;210;65;91;122
1,2;653;707;241;189;35;131;400;77;351;1.296;194;65;283;118;140;154
1,3;900;868;305;223;43;188;456;106;410;1.542;243;80;338;128;155;176
1,4;1.050;1.020;342;264;67;210;588;144;541;1.767;322;73;388;158;199;234
1,5;1.227;1.241;381;299;84;235;648;137;649;2.152;409;65;436;178;257;257
1,6;1.439;1.379;404;344;83;289;796;181;777;2.402;428;103;538;213;315;297
1,7;1.661;1.515;525;400;68;285;767;201;803;2.640;505;113;573;201;365;318
1,8;1.770;1.781;516;402;111;336;848;189;967;2.869;577;116;608;243;396;342
1,9;1.944;2.092;555;433;97;346;961;230;1.060;3.285;665;118;624;266;457;394
2,0;2.058;1.959;541;436;102;360;970;226;1.120;3.169;663;151;622;261;444;364
2,1;2.314;2.184;616;460;119;404;1.024;250;1.245;3.531;683;140;647;255;550;370
2,2;2.362;2.214;641;495;125;451;1.054;280;1.370;3.815;744;158;718;302;605;374
2,3;2.483;2.289;713;501;127;448;1.107;258;1.425;3.798;856;152;731;280;608;407
2,4;2.488;2.396;752;563;143;432;1.108;262;1.595;4.149;866;184;702;301;739;412
2,5;2.635;2.358;793;548;115;494;1.107;265;1.784;4.282;886;207;699;303;660;350
2,6;2.669;2.360;768;501;161;482;1.126;305;1.743;4.376;888;172;629;286;731;374
2,7;2.620;2.231;808;514;136;521;1.122;252;1.804;4.246;948;208;643;277;757;306
2,8;2.550;2.187;818;483;159;496;1.155;247;1.950;4.376;936;182;613;297;844;317
2,9;2.449;2.116;811;462;136;520;1.114;250;2.032;4.386;910;174;557;314;783;291
3,0;2.319;1.737;771;385;128;456;1.073;252;1.860;4.099;925;171;493;320;819;235
3,1;2.118;1.648;702;368;130;435;991;208;1.907;4.001;930;134;424;240;785;183
3,2;1.922;1.330;599;312;105;380;861;220;1.859;3.734;858;136;359;206;714;146
3,3;1.675;1.072;506;194;85;312;739;151;1.640;3.299;718;101;237;138;636;83
3,4;1.312;706;419;98;67;262;613;100;1.312;2.667;617;63;205;114;481;50
3,5;828;380;234;47;43;164;415;47;953;1.912;443;31;52;45;369;26
3,6;428;136;137;19;16;95;211;16;477;1.024;220;4;18;16;181;13
3,7;164;44;35;3;7;29;100;6;159;409;85;1;3;6;67;2
3,8;36;24;13;0;7;8;16;0;20;80;28;0;2;0;26;2
3,9;6;12;5;0;0;2;1;0;3;12;7;0;0;0;4;0
4,0;3;13;8;0;1;0;0;0;0;19;8;0;0;0;1;0
